Dimmunity,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
5.000000000000000278e-02,1.000000000000000056e-01,1.600000000000000000e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.061538461538461542e+00,1.095955590800951340e-01,1.039130434782608745e+02,2.703264822134387487e+03,9.043478260869564522e+00,1.952569169960474360e+00,4.400000000000000000e+01,-2.973461740185540658e-01,7.317608007484588839e+00
5.000000000000000278e-02,2.000000000000000111e-01,1.683333333333333215e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.068421052631578938e+00,8.524087997772210323e-02,1.060869565217391255e+02,2.783628458498023974e+03,8.782608695652173836e+00,1.359683794466402862e+00,5.600000000000000000e+01,-3.578205883555826139e-01,7.356520191256965546e+00
5.000000000000000278e-02,3.000000000000000444e-01,1.754545454545454675e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.016483516483516425e+00,1.630137817983121074e-02,1.023913043478260931e+02,2.576067193675889484e+03,8.391304347826087806e+00,2.430830039525691877e+00,4.700000000000000000e+01,-3.520845955303349428e-01,7.552601606521999855e+00
5.000000000000000278e-02,4.000000000000000222e-01,1.750000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.035353535353535248e+00,6.473363072347845804e-02,1.046956521739130466e+02,3.277584980237154014e+03,9.130434782608695343e+00,3.300395256916995645e+00,5.900000000000000000e+01,-3.058371545504738886e-01,7.971886854216009510e+00
5.000000000000000278e-02,5.000000000000000000e-01,1.606666666666666643e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.075221238938053103e+00,1.409832841691248673e-01,1.044347826086956559e+02,2.671984189723320469e+03,1.047826086956521685e+01,2.897233201581027817e+00,4.200000000000000000e+01,-1.224964137209715309e-01,8.962658709807760360e+00
5.000000000000000278e-02,5.999999999999999778e-01,1.506666666666666643e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.047393364928909998e+00,4.536222071767095215e-02,9.982608695652173481e+01,2.381786561264822012e+03,9.826086956521738358e+00,1.332015810276679924e+00,3.900000000000000000e+01,-1.825948237056584655e-01,8.781321867813218773e+00
5.000000000000000278e-02,6.999999999999999556e-01,1.890909090909091006e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.010152284263959421e+00,1.010048689526571973e-02,9.647826086956521863e+01,2.408079051383399474e+03,9.043478260869564522e+00,9.525691699604745821e-01,3.200000000000000000e+01,-3.447201838293771359e-01,8.878529860627555337e+00
5.000000000000000278e-02,7.999999999999999334e-01,1.927272727272727337e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.039800995024875663e+00,3.840796019900497016e-02,1.012608695652173907e+02,2.985110671936759445e+03,9.217391304347826164e+00,7.233201581027666194e-01,3.900000000000000000e+01,-3.482016127671764827e-01,8.703076142718639829e+00
5.000000000000000278e-02,8.999999999999999112e-01,1.594117647058823550e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.039370078740157410e+00,4.587470044505306821e-02,9.591304347826087451e+01,2.318537549407114966e+03,1.178260869565217384e+01,2.723320158102767508e+00,3.000000000000000000e+01,4.383033497422334640e-02,1.115751445086705118e+01
5.000000000000000278e-02,9.999999999999998890e-01,1.830769230769230660e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.035555555555555562e+00,3.444444444444443726e-02,9.430434782608695343e+01,2.250766798418972485e+03,1.034782608695652151e+01,1.691699604743082341e+00,2.800000000000000000e+01,-2.617022755967652881e-01,1.030236746283175364e+01
1.000000000000000056e-01,1.000000000000000056e-01,1.266666666666666607e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.035714285714285809e+00,4.907502569373073387e-02,1.046521739130434838e+02,2.848600790513833999e+03,6.608695652173913082e+00,1.339920948616600826e+00,5.800000000000000000e+01,-4.452409186233094451e-01,5.791079849764206422e+00
1.000000000000000056e-01,2.000000000000000111e-01,1.600000000000000000e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.071428571428571397e+00,2.867395762132603498e-01,1.051304347826087024e+02,2.929664031620553942e+03,9.739130434782609314e+00,1.474308300395256399e+00,5.000000000000000000e+01,-2.445841128465055525e-01,7.593380436505564823e+00
1.000000000000000056e-01,3.000000000000000444e-01,1.709090909090908994e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.011299435028248483e+00,1.123523369286081285e-02,9.534782608695651618e+01,2.367873517786561479e+03,8.173913043478261642e+00,5.138339920948616912e-01,3.900000000000000000e+01,-3.875392705256116566e-01,7.671895049315330617e+00
1.000000000000000056e-01,4.000000000000000222e-01,1.891666666666666785e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.060465116279069697e+00,7.576613779613129707e-02,9.339130434782609314e+01,2.350521739130434526e+03,9.869565217391304657e+00,1.936758893280632776e+00,3.700000000000000000e+01,-2.902827873248767787e-01,9.008532383207144889e+00
1.000000000000000056e-01,5.000000000000000000e-01,2.010000000000000142e+01,2.300000000000000000e+01,1.000000000000000000e+01,1.031413612565444948e+00,3.058693855056488983e-02,9.769565217391304657e+01,2.567130434782609427e+03,8.739130434782609314e+00,5.652173913043478937e-01,4.600000000000000000e+01,-3.727950148021464960e-01,8.520272688596106647e+00
1.000000000000000056e-01,5.999999999999999778e-01,1.700000000000000000e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.079166666666666607e+00,1.568863319386332167e-01,9.569565217391304657e+01,2.521766798418972485e+03,1.108695652173913082e+01,1.719367588932806168e+00,3.200000000000000000e+01,-1.181957465738040503e-01,1.081442041835472168e+01
1.000000000000000056e-01,6.999999999999999556e-01,1.771428571428571530e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.025641025641025550e+00,2.509078903928690235e-02,8.773913043478260931e+01,1.901383399209486242e+03,1.078260869565217384e+01,1.268774703557312256e+00,2.900000000000000000e+01,-2.036869804611533830e-01,1.055226999336319871e+01
1.000000000000000056e-01,7.999999999999999334e-01,1.892307692307692335e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.034334763948497882e+00,4.191949089832767289e-02,8.969565217391304657e+01,2.051494071146244551e+03,1.069565217391304301e+01,1.948616600790513465e+00,2.500000000000000000e+01,-2.203874850418476861e-01,1.044205684099935638e+01
1.000000000000000056e-01,8.999999999999999112e-01,1.906666666666666643e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.081180811808118092e+00,3.044963782971163990e-01,9.013043478260870245e+01,1.972845849802371731e+03,1.243478260869565233e+01,5.984189723320159082e+00,2.400000000000000000e+01,-1.473579267291426700e-02,1.285273646727909203e+01
1.000000000000000056e-01,9.999999999999998890e-01,1.706666666666666643e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.074688796680497882e+00,8.606500691562933569e-02,8.556521739130434412e+01,1.916984189723320242e+03,1.113043478260869534e+01,1.754940711462451342e+00,3.100000000000000000e+01,-1.171317535341219046e-01,1.091163703194236234e+01
1.500000000000000222e-01,1.000000000000000056e-01,1.625000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.098360655737705027e+00,5.067555395424246933e-01,1.012608695652173907e+02,2.758019762845849527e+03,8.478260869565216851e+00,8.063241106719363227e-01,5.000000000000000000e+01,-3.664926398933512908e-01,6.903991952427642076e+00
1.500000000000000222e-01,2.000000000000000111e-01,1.541666666666666607e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.017341040462427681e+00,1.713940045705067763e-02,9.573913043478260931e+01,2.347656126482213494e+03,8.043478260869564522e+00,1.225296442687747289e+00,4.900000000000000000e+01,-3.748611675089298378e-01,6.295694622694939291e+00
1.500000000000000222e-01,3.000000000000000444e-01,1.758333333333333215e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.040201005025125580e+00,2.509009694939343116e-01,9.460869565217390686e+01,2.273976284584979567e+03,9.173913043478261642e+00,6.047430830039526306e-01,3.800000000000000000e+01,-3.277472749869785873e-01,7.909725379041099735e+00
1.500000000000000222e-01,4.000000000000000222e-01,1.775000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.094527363184079505e+00,3.260199004975124493e-01,9.273913043478260931e+01,2.280747035573122048e+03,9.260869565217390686e+00,1.928853754940710985e+00,4.500000000000000000e+01,-3.125431570358630506e-01,8.103300439417104428e+00
