R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1,0.1,-0.14,-0.26,-0.32,-0.49,0.09,-0.13,-0.08,-0.28,-0.08,-0.03,0.37,-0.44
1,0.2,-0.38,0.31,0.34,-0.31,-0.28,0.22,0.14,0.10,-0.31,0.14,-0.30,-0.24
1,0.3,0.37,0.29,0.08,-0.18,-0.43,0.07,-0.11,0.29,0.17,0.06,-0.05,-0.28
1,0.4,0.45,0.56,-0.02,-0.17,0.21,0.80,0.85,0.68,0.33,0.56,0.01,-0.46
1,0.5,-0.07,0.30,0.21,0.20,-0.08,0.45,0.45,0.38,0.32,0.53,-0.18,-0.52
1,0.6,0.06,0.42,0.04,-0.30,-0.38,0.17,0.30,0.14,0.37,0.35,-0.07,-0.22
1,0.7,-0.29,-0.33,-0.54,-0.21,0.05,-0.28,-0.11,-0.47,-0.37,-0.31,0.49,-0.16
1,0.8,-0.66,-0.61,0.37,0.41,0.36,-0.57,-0.51,-0.52,-0.05,-0.49,-0.38,0.31
1,0.9,-0.2,0.20,-0.27,0.02,0.10,-0.03,-0.29,-0.16,-0.45,0.07,0.22,-0.44
1,1,-0.39,-0.22,0.05,0.37,-0.04,-0.22,-0.32,-0.15,-0.28,-0.43,-0.09,0.24
2,0.1,0.04,nan,-0.03,0.22,0.13,-0.48,-0.71,0.03,0.09,0.16,-0.23,-0.43
2,0.2,0.09,nan,0.03,-0.03,-0.47,-0.75,-0.52,0.13,0.02,-0.39,0.15,0.24
2,0.3,-0.07,nan,0.64,0.49,0.16,-0.91,-0.89,0.59,-0.02,-0.49,0.61,0.63
2,0.4,-0.35,nan,0.22,-0.31,-0.49,-0.94,-0.80,0.02,-0.06,-0.43,0.00,0.26
2,0.5,-0.03,-0.52,0.36,0.77,0.64,-0.88,-0.77,0.16,0.52,-0.67,0.56,0.62
2,0.6,-0.32,-0.41,0.48,0.13,-0.02,-0.90,-0.88,0.18,0.76,-0.43,0.46,0.54
2,0.7,-0.24,-0.29,-0.23,0.54,0.30,-0.97,-0.95,-0.41,0.00,-0.47,-0.41,0.24
2,0.8,-0.1,-0.45,-0.08,-0.08,-0.17,-0.96,-0.93,-0.25,0.40,-0.66,-0.12,0.34
2,0.9,-0.32,-0.80,-0.45,0.77,0.53,-0.96,-0.92,-0.55,0.41,0.07,-0.43,-0.04
2,1,-0.56,-0.74,-0.17,0.85,0.66,-0.99,-0.96,-0.86,0.10,-0.32,-0.48,0.02
3,0.1,-0.39,nan,0.78,-0.13,-0.48,-0.25,-0.30,0.68,0.37,0.56,0.83,0.73
3,0.2,0.02,nan,0.19,0.04,0.04,-0.74,-0.83,0.28,-0.02,-0.80,0.26,0.69
3,0.3,0.59,nan,-0.40,-0.34,-0.48,-0.91,-0.88,0.00,-0.56,0.52,-0.34,0.01
3,0.4,0.3,nan,0.30,0.10,0.10,-0.94,-0.83,0.56,0.48,-0.67,0.43,0.74
3,0.5,0.08,nan,0.28,0.09,0.26,-0.92,-0.86,0.45,0.60,-0.68,0.39,0.73
3,0.6,0.14,nan,-0.42,0.31,0.52,-0.91,-0.87,-0.29,0.16,-0.32,-0.42,0.32
3,0.7,-0.19,nan,0.20,0.38,0.45,-0.96,-0.94,0.09,0.19,-0.60,0.15,0.30
3,0.8,-0.23,nan,-0.07,0.76,0.38,-0.97,-0.94,-0.25,-0.09,-0.53,-0.13,0.37
3,0.9,0.16,nan,0.44,0.57,0.12,-0.98,-0.97,0.45,0.65,0.26,0.40,0.73
3,1,-0.14,-0.41,0.08,0.87,0.62,-0.97,-0.98,-0.01,0.62,-0.65,0.02,0.36
4,0.1,-0.08,nan,0.23,0.16,0.05,-0.70,-0.64,0.23,0.41,-0.11,0.30,0.11
4,0.2,0.25,nan,0.37,0.65,0.47,-0.85,-0.62,0.80,0.70,-0.63,0.55,0.58
4,0.3,0.8,nan,-0.48,0.06,-0.17,-0.84,-0.72,0.16,0.35,-0.74,-0.33,0.51
4,0.4,-0.14,nan,0.43,0.38,0.42,-0.91,-0.79,0.48,0.27,-0.52,0.47,0.70
4,0.5,-0.17,nan,0.68,0.21,-0.24,-0.91,-0.85,0.68,0.65,-0.58,0.70,0.79
4,0.6,-0.66,nan,0.72,0.57,0.44,-0.95,-0.94,0.47,0.71,-0.19,0.67,0.56
4,0.7,-0.09,nan,0.55,0.18,-0.05,-0.99,-0.98,0.60,0.27,-0.29,0.56,0.75
4,0.8,0.14,nan,0.62,0.72,0.57,-0.98,-0.94,0.72,0.49,-0.21,0.69,0.84
4,0.9,-0.28,nan,0.22,-0.03,-0.49,-1.00,-0.97,0.02,0.73,-0.10,0.15,0.67
4,1,0.47,nan,0.29,0.30,-0.13,-0.99,-0.97,0.44,0.71,-0.84,0.31,0.64
