R0,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000000e+00,5.000000000000000000e-01,3.000000000000000000e+00,9.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.956521739130434812e+00,7.134387351778657127e+00,7.826086956521739468e-01,7.233201581027667304e-01,8.000000000000000000e+00,-4.928575297823546419e-01,2.124463519313304793e+00
1.000000000000000000e+00,1.500000000000000000e+00,3.142857142857142794e+00,7.000000000000000000e+00,7.000000000000000000e+00,1.066666666666666652e+00,6.666666666666666574e-02,2.478260869565217295e+00,7.988142292490118201e+00,9.565217391304348116e-01,4.980237154150196077e-01,1.300000000000000000e+01,-5.665227593881575485e-01,2.751724137931034431e+00
1.000000000000000000e+00,2.500000000000000000e+00,3.250000000000000000e+00,8.000000000000000000e+00,8.000000000000000000e+00,1.611111111111111160e+00,2.839869281045752203e+00,2.695652173913043459e+00,1.185770750988142552e+01,1.130434782608695565e+00,1.027667984189723160e+00,7.000000000000000000e+00,-5.818174047371436064e-01,5.545454545454545858e+00
1.000000000000000000e+00,3.500000000000000000e+00,2.818181818181818343e+00,7.000000000000000000e+00,1.100000000000000000e+01,1.199999999999999956e+00,2.736842105263158076e-01,2.043478260869565410e+00,4.407114624505928724e+00,1.347826086956521729e+00,1.328063241106719916e+00,5.000000000000000000e+00,-6.995461814786267940e-01,6.672839506172839386e+00
1.000000000000000000e+00,4.500000000000000000e+00,2.571428571428571619e+00,5.000000000000000000e+00,7.000000000000000000e+00,1.454545454545454586e+00,4.727272727272726627e-01,1.260869565217391353e+00,4.019762845849801813e+00,7.826086956521739468e-01,1.177865612648221205e+00,4.000000000000000000e+00,-5.523156405428394367e-01,5.272727272727272485e+00
1.000000000000000000e+00,5.500000000000000000e+00,2.000000000000000000e+00,5.000000000000000000e+00,6.000000000000000000e+00,1.333333333333333259e+00,6.666666666666667407e-01,6.521739130434782705e-01,7.826086956521739468e-01,5.217391304347825942e-01,4.426877470355731758e-01,2.000000000000000000e+00,-5.075638423241051189e-01,4.200000000000000178e+00
1.000000000000000000e+00,6.500000000000000000e+00,1.250000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,2.000000000000000000e+00,nan,2.173913043478260809e-01,1.778656126482213162e-01,2.173913043478260809e-01,1.778656126482213162e-01,1.000000000000000000e+00,-3.684210526315789269e-01,1.000000000000000000e+01
1.000000000000000000e+00,7.500000000000000000e+00,1.500000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.608695652173912971e-01,2.015810276679841917e-01,2.608695652173912971e-01,2.015810276679841917e-01,1.000000000000000000e+00,-3.684210526315789269e-01,7.500000000000000000e+00
1.000000000000000000e+00,8.500000000000000000e+00,3.166666666666666519e+00,7.000000000000000000e+00,6.000000000000000000e+00,1.461538461538461453e+00,7.692307692307691624e-01,1.434782608695652106e+00,2.438735177865612336e+00,8.260869565217391353e-01,6.047430830039526306e-01,4.000000000000000000e+00,-5.072791474125005751e-01,4.551724137931034697e+00
1.000000000000000000e+00,9.500000000000000000e+00,2.399999999999999911e+00,5.000000000000000000e+00,5.000000000000000000e+00,1.285714285714285809e+00,5.714285714285715079e-01,1.043478260869565188e+00,2.316205533596838784e+00,5.217391304347825942e-01,5.335968379446641707e-01,4.000000000000000000e+00,-4.343325068136049683e-01,3.285714285714285587e+00
1.000000000000000000e+00,1.050000000000000000e+01,1.833333333333333259e+00,5.000000000000000000e+00,6.000000000000000000e+00,2.200000000000000178e+00,4.700000000000000178e+00,5.217391304347825942e-01,7.154150197628459384e-01,4.782608695652174058e-01,6.245059288537549991e-01,2.000000000000000000e+00,-4.870100719988078031e-01,5.076923076923076650e+00
1.000000000000000000e+00,1.150000000000000000e+01,1.500000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,1.500000000000000000e+00,5.000000000000000000e-01,2.608695652173912971e-01,2.015810276679840807e-01,2.608695652173912971e-01,2.015810276679840807e-01,1.000000000000000000e+00,-3.684210526315789269e-01,7.500000000000000000e+00
1.000000000000000000e+00,1.250000000000000000e+01,1.800000000000000044e+00,3.000000000000000000e+00,5.000000000000000000e+00,3.750000000000000000e+00,3.025000000000000000e+01,3.913043478260869734e-01,4.308300395256918214e-01,3.913043478260869734e-01,4.308300395256918214e-01,1.000000000000000000e+00,-4.339283927913536454e-01,7.200000000000000178e+00
1.000000000000000000e+00,1.350000000000000000e+01,2.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,3.000000000000000000e+00,2.366666666666666785e+01,9.130434782608695121e-01,1.537549407114624289e+00,6.086956521739130821e-01,6.126482213438736446e-01,3.000000000000000000e+00,-5.678742701525842929e-01,4.200000000000000178e+00
1.000000000000000000e+00,1.450000000000000000e+01,5.000000000000000000e+00,8.000000000000000000e+00,5.000000000000000000e+00,1.699999999999999956e+00,7.168421052631583024e+00,2.086956521739130377e+00,7.901185770750985604e+00,1.086956521739130377e+00,1.719367588932806168e+00,5.000000000000000000e+00,-4.149864592315162248e-01,3.650485436893204039e+00
1.000000000000000000e+00,1.550000000000000000e+01,4.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.583333333333333259e+00,2.083333333333333925e+00,1.217391304347826164e+00,1.996047430830039993e+00,6.956521739130434590e-01,4.940711462450591562e-01,4.000000000000000000e+00,-3.641226034866049677e-01,2.290909090909091006e+00
1.000000000000000000e+00,1.650000000000000000e+01,1.571428571428571397e+00,3.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.956521739130434590e-01,1.312252964426877666e+00,4.782608695652174058e-01,3.517786561264821810e-01,3.000000000000000000e+00,-5.822927905186114916e-01,7.058823529411764497e+00
1.000000000000000000e+00,1.750000000000000000e+01,3.250000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.333333333333333259e+00,2.500000000000000000e-01,1.043478260869565188e+00,2.861660079051383754e+00,5.652173913043477826e-01,6.205533596837945476e-01,5.000000000000000000e+00,-3.572232482523269859e-01,2.044444444444444287e+00
1.000000000000000000e+00,1.850000000000000000e+01,3.000000000000000000e+00,5.000000000000000000e+00,7.000000000000000000e+00,1.642857142857142794e+00,7.087912087912087156e-01,1.391304347826086918e+00,3.067193675889327675e+00,9.130434782608695121e-01,1.173913043478260754e+00,3.000000000000000000e+00,-5.314818412632977829e-01,5.391304347826086918e+00
1.000000000000000000e+00,1.950000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,nan,nan,1.304347826086956486e-01,1.185770750988142108e-01,1.304347826086956486e-01,1.185770750988142108e-01,1.000000000000000000e+00,-2.842105263157894690e-01,3.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e-01,1.213333333333333286e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.077844311377245567e+00,1.565543611572036697e-01,4.695652173913043725e+01,5.452252964426875224e+02,7.913043478260869179e+00,1.719367588932806168e+00,2.700000000000000000e+01,-3.315614698028847007e-01,9.274776352233294219e+00
2.000000000000000000e+00,1.500000000000000000e+00,6.916666666666666963e+00,1.900000000000000000e+01,1.200000000000000000e+01,1.267605633802816989e+00,8.273641851106634526e-01,1.839130434782608603e+01,1.413399209486165944e+02,3.608695652173913082e+00,1.339920948616600826e+00,3.700000000000000000e+01,-5.967753964833792946e-01,5.221611185865558724e+00
2.000000000000000000e+00,2.500000000000000000e+00,7.461538461538461675e+00,1.300000000000000000e+01,1.300000000000000000e+01,1.226190476190476275e+00,6.349684452094092046e-01,2.300000000000000000e+01,2.379090909090909065e+02,4.217391304347826164e+00,3.086956521739130821e+00,3.000000000000000000e+01,-5.550789449489574867e-01,7.990845110716942479e+00
2.000000000000000000e+00,3.500000000000000000e+00,5.888888888888889284e+00,1.600000000000000000e+01,9.000000000000000000e+00,1.227272727272727293e+00,5.052854122621562860e-01,8.565217391304347672e+00,5.552964426877470316e+01,2.304347826086956541e+00,8.577075098814229692e-01,1.600000000000000000e+01,-6.327569229776915938e-01,3.851955307262569850e+00
2.000000000000000000e+00,4.500000000000000000e+00,5.000000000000000000e+00,1.100000000000000000e+01,1.200000000000000000e+01,1.687500000000000000e+00,5.793882978723404520e+00,1.243478260869565233e+01,9.352964426877470316e+01,2.608695652173913082e+00,2.249011857707509776e+00,2.800000000000000000e+01,-6.256758854594425268e-01,5.929725010912265226e+00
2.000000000000000000e+00,5.500000000000000000e+00,8.500000000000000000e+00,1.400000000000000000e+01,1.000000000000000000e+01,1.239999999999999991e+00,3.740540540540540082e-01,1.378260869565217384e+01,7.608695652173912549e+01,3.695652173913043459e+00,1.312252964426877444e+00,3.100000000000000000e+01,-5.486257217634555872e-01,6.349645030425963732e+00
2.000000000000000000e+00,6.500000000000000000e+00,6.875000000000000000e+00,1.800000000000000000e+01,8.000000000000000000e+00,1.361702127659574435e+00,3.235892691951895994e+00,1.539130434782608781e+01,1.377035573122529684e+02,2.391304347826086918e+00,8.853754940711463517e-01,2.600000000000000000e+01,-5.669171274758219026e-01,5.672355878347707936e+00
2.000000000000000000e+00,7.500000000000000000e+00,4.400000000000000355e+00,1.000000000000000000e+01,1.000000000000000000e+01,1.647058823529411686e+00,5.568627450980394578e+00,1.178260869565217384e+01,2.011778656126482758e+02,1.913043478260869623e+00,2.992094861660079985e+00,3.200000000000000000e+01,-6.143186555395575565e-01,4.396178803172314353e+00
2.000000000000000000e+00,8.500000000000000000e+00,1.040000000000000036e+01,1.600000000000000000e+01,1.000000000000000000e+01,1.521276595744680771e+00,3.219972546328069729e+00,1.608695652173912904e+01,1.362648221343873729e+02,4.521739130434782261e+00,2.897233201581027817e+00,2.900000000000000000e+01,-4.846904784332938809e-01,6.417692958540942350e+00
2.000000000000000000e+00,9.500000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+01,1.100000000000000000e+01,1.272727272727272707e+00,4.355179704016913234e-01,1.430434782608695699e+01,1.677667984189723711e+02,2.391304347826086918e+00,1.885375494071146241e+00,3.400000000000000000e+01,-6.616149286127607221e-01,5.201581027667984358e+00
2.000000000000000000e+00,1.050000000000000000e+01,6.142857142857143238e+00,9.000000000000000000e+00,7.000000000000000000e+00,1.055555555555555580e+00,5.396825396825397081e-02,1.339130434782608781e+01,1.386126482213439317e+02,1.869565217391304435e+00,1.027667984189723160e+00,3.600000000000000000e+01,-5.322686528779418946e-01,4.077447175506684118e+00
2.000000000000000000e+00,1.150000000000000000e+01,9.111111111111110716e+00,1.300000000000000000e+01,9.000000000000000000e+00,1.219178082191780810e+00,1.006849315068493178e+00,1.800000000000000000e+01,1.816363636363636260e+02,3.565217391304347672e+00,3.802371541501976981e+00,2.200000000000000000e+01,-5.046116734398543580e-01,7.240091463414634276e+00
2.000000000000000000e+00,1.250000000000000000e+01,8.555555555555555358e+00,1.400000000000000000e+01,9.000000000000000000e+00,1.132352941176470562e+00,2.956540825285337570e-01,1.582608695652173836e+01,1.718774703557312193e+02,3.347826086956521952e+00,3.146245059288537593e+00,2.700000000000000000e+01,-5.564698021567239250e-01,6.456802189210320897e+00
2.000000000000000000e+00,1.350000000000000000e+01,5.111111111111110716e+00,8.000000000000000000e+00,9.000000000000000000e+00,1.648648648648648685e+00,7.234234234234234506e+00,1.208695652173913082e+01,1.139920948616600924e+02,2.000000000000000000e+00,1.090909090909090828e+00,3.200000000000000000e+01,-6.094712405912823261e-01,4.003639388582717729e+00
2.000000000000000000e+00,1.450000000000000000e+01,7.909090909090909172e+00,1.600000000000000000e+01,1.100000000000000000e+01,1.302631578947368363e+00,7.471929824561404088e-01,1.652173913043478137e+01,1.188063241106719516e+02,3.782608695652173836e+00,1.905138339920949164e+00,2.700000000000000000e+01,-5.563164079748075252e-01,7.114909593913645303e+00
2.000000000000000000e+00,1.550000000000000000e+01,6.700000000000000178e+00,1.500000000000000000e+01,1.000000000000000000e+01,1.087719298245614086e+00,8.145363408521302806e-02,1.308695652173913082e+01,9.408300395256918591e+01,2.913043478260869623e+00,3.355731225296442410e+00,1.800000000000000000e+01,-5.863878381232058290e-01,6.212162905888828135e+00
