R0,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000000e+00,5.000000000000000278e-02,7.000000000000000000e+00,1.800000000000000000e+01,4.000000000000000000e+00,1.583333333333333259e+00,5.123188405797099776e+00,3.304347826086956541e+00,7.675889328063241202e+00,1.217391304347826164e+00,6.324110671936757910e-01,9.000000000000000000e+00,-3.453019246566791378e-01,1.320055581287633117e+00
1.000000000000000000e+00,1.000000000000000056e-01,6.714285714285714413e+00,1.500000000000000000e+01,7.000000000000000000e+00,1.125000000000000000e+00,2.147435897435897301e-01,7.043478260869565410e+00,2.313438735177865269e+01,2.043478260869565410e+00,1.134387351778656461e+00,1.100000000000000000e+01,-5.006061968593713551e-01,5.264836495761000990e+00
1.000000000000000000e+00,1.500000000000000222e-01,4.166666666666666963e+00,1.100000000000000000e+01,6.000000000000000000e+00,1.210526315789473673e+00,2.865497076023391099e-01,2.347826086956521952e+00,3.964426877470356381e+00,1.086956521739130377e+00,6.284584980237153395e-01,4.000000000000000000e+00,-4.948905134279413254e-01,3.051172707889125757e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.142857142857143238e+00,1.600000000000000000e+01,7.000000000000000000e+00,1.586206896551724199e+00,1.179802955665024689e+00,2.695652173913043459e+00,5.403162055335969605e+00,1.565217391304347894e+00,1.438735177865612558e+00,4.000000000000000000e+00,-5.020953847787350544e-01,3.035313001605136396e+00
1.000000000000000000e+00,2.500000000000000000e-01,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.608695652173912971e-01,3.833992094861659594e-01,1.739130434782608647e-01,1.501976284584979893e-01,2.000000000000000000e+00,-1.947368421052631526e-01,1.500000000000000000e+00
1.000000000000000000e+00,2.999999999999999889e-01,1.800000000000000044e+00,4.000000000000000000e+00,5.000000000000000000e+00,1.500000000000000000e+00,1.000000000000000000e+00,3.913043478260869734e-01,3.399209486166008265e-01,3.913043478260869734e-01,3.399209486166008265e-01,1.000000000000000000e+00,-4.401627881766918549e-01,5.142857142857143238e+00
1.000000000000000000e+00,3.499999999999999778e-01,4.500000000000000000e+00,1.400000000000000000e+01,4.000000000000000000e+00,1.428571428571428603e+00,1.186813186813187038e+00,2.956521739130434590e+00,1.140711462450592784e+01,7.826086956521739468e-01,4.505928853754940788e-01,1.000000000000000000e+01,-3.577286340049285474e-01,1.129400099157163995e+00
1.000000000000000000e+00,3.999999999999999667e-01,4.500000000000000000e+00,1.200000000000000000e+01,6.000000000000000000e+00,1.714285714285714191e+00,2.914285714285713702e+00,1.782608695652173836e+00,3.905138339920948720e+00,1.173913043478260976e+00,1.059288537549407216e+00,3.000000000000000000e+00,-4.915831721190899173e-01,3.580786026200873273e+00
1.000000000000000000e+00,4.499999999999999556e-01,4.833333333333333037e+00,1.000000000000000000e+01,6.000000000000000000e+00,1.347826086956521729e+00,7.826086956521742799e-01,2.608695652173913082e+00,9.794466403162054746e+00,1.260869565217391353e+00,1.383399209486166237e+00,7.000000000000000000e+00,-4.908028169728718693e-01,2.878048780487804770e+00
1.000000000000000000e+00,4.999999999999999445e-01,3.799999999999999822e+00,8.000000000000000000e+00,5.000000000000000000e+00,1.071428571428571397e+00,7.142857142857141073e-02,1.913043478260869623e+00,6.083003952569170814e+00,8.260869565217391353e-01,9.683794466403160550e-01,5.000000000000000000e+00,-4.199096241944798025e-01,2.702857142857142847e+00
2.000000000000000000e+00,5.000000000000000278e-02,1.676923076923077005e+01,2.300000000000000000e+01,1.300000000000000000e+01,1.068292682926829329e+00,1.227642276422764162e-01,9.400000000000000000e+01,2.459545454545454504e+03,9.478260869565216851e+00,1.351778656126481737e+00,3.200000000000000000e+01,-2.784994795884684349e-01,9.289282916529145950e+00
2.000000000000000000e+00,1.000000000000000056e-01,1.592857142857142883e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.114832535885167397e+00,4.867500920132499242e-01,8.326086956521739069e+01,1.837656126482213722e+03,9.695652173913043015e+00,2.948616600790512798e+00,3.300000000000000000e+01,-2.213241889300922582e-01,9.520335170572314709e+00
