R0,sigma,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000000e+00,1.000000000000000056e-01,5.000000000000000278e-02,1.500000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,2.750000000000000000e+00,9.166666666666666297e-01,6.086956521739130821e-01,7.944664031620554123e-01,5.217391304347825942e-01,5.335968379446641707e-01,2.000000000000000000e+00,-6.281993599884525548e-01,1.300000000000000000e+01
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,4.000000000000000000e+00,1.500000000000000000e+01,5.000000000000000000e+00,1.466666666666666563e+00,4.095238095238096787e-01,2.260869565217391131e+00,5.292490118577074298e+00,8.695652173913043237e-01,4.822134387351779128e-01,8.000000000000000000e+00,-4.267004288078453667e-01,1.225508317929759672e+00
1.000000000000000000e+00,1.000000000000000056e-01,1.500000000000000222e-01,5.333333333333333037e+00,1.700000000000000000e+01,6.000000000000000000e+00,1.692307692307692291e+00,2.941538461538461213e+00,3.478260869565217295e+00,8.533596837944664060e+00,1.391304347826086918e+00,4.308300395256919324e-01,1.000000000000000000e+01,-4.937381037291338481e-01,1.880952380952380931e+00
1.000000000000000000e+00,1.000000000000000056e-01,2.000000000000000111e-01,4.333333333333333037e+00,1.500000000000000000e+01,9.000000000000000000e+00,1.066666666666666652e+00,6.436781609195402210e-02,5.043478260869565410e+00,2.340711462450592606e+01,1.695652173913043459e+00,1.403162055335968494e+00,1.100000000000000000e+01,-6.279358350362491681e-01,2.604451386177274674e+00
1.000000000000000000e+00,1.000000000000000056e-01,2.500000000000000000e-01,1.846153846153846256e+00,6.000000000000000000e+00,1.300000000000000000e+01,1.363636363636363535e+00,6.545454545454545414e-01,1.608695652173913082e+00,3.158102766798418948e+00,1.043478260869565188e+00,7.707509881422925924e-01,5.000000000000000000e+00,-8.382670897706817614e-01,6.403846153846154188e+00
1.000000000000000000e+00,1.000000000000000056e-01,2.999999999999999889e-01,7.250000000000000000e+00,1.900000000000000000e+01,4.000000000000000000e+00,1.239999999999999991e+00,7.733333333333334281e-01,4.478260869565217739e+00,1.116996047430829542e+01,1.260869565217391353e+00,5.652173913043477826e-01,1.400000000000000000e+01,-3.442363958652144285e-01,1.325176589303733499e+00
1.000000000000000000e+00,1.000000000000000056e-01,3.499999999999999778e-01,6.333333333333333037e+00,1.900000000000000000e+01,6.000000000000000000e+00,1.281250000000000000e+00,1.176411290322580738e+00,5.391304347826086918e+00,1.324901185770750800e+01,1.652173913043478271e+00,6.007905138339919571e-01,1.000000000000000000e+01,-4.901444055637843578e-01,1.907930948211158384e+00
1.000000000000000000e+00,1.000000000000000056e-01,3.999999999999999667e-01,2.166666666666666519e+00,5.000000000000000000e+00,6.000000000000000000e+00,1.857142857142857206e+00,3.476190476190474943e+00,8.260869565217391353e-01,2.422924901185771418e+00,5.652173913043477826e-01,1.075098814229248578e+00,3.000000000000000000e+00,-4.733465416227635170e-01,3.976744186046511587e+00
1.000000000000000000e+00,1.000000000000000056e-01,4.499999999999999556e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,nan,nan,1.304347826086956486e-01,2.094861660079052612e-01,1.304347826086956486e-01,2.094861660079052612e-01,1.000000000000000000e+00,-2.736842105263158076e-01,3.000000000000000000e+00
1.000000000000000000e+00,1.000000000000000056e-01,4.999999999999999445e-01,2.500000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,1.222222222222222321e+00,1.944444444444444198e-01,1.739130434782608647e+00,7.019762845849800925e+00,6.521739130434782705e-01,5.098814229249011287e-01,1.000000000000000000e+01,-5.043080387928242647e-01,1.560000000000000053e+00
1.000000000000000000e+00,2.000000000000000111e-01,5.000000000000000278e-02,4.250000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,1.230769230769230838e+00,1.923076923076923184e-01,1.478260869565217295e+00,3.988142292490118646e+00,7.391304347826086474e-01,8.379446640316207118e-01,5.000000000000000000e+00,-3.523465134864887105e-01,2.585253456221197954e+00
1.000000000000000000e+00,2.000000000000000111e-01,1.000000000000000056e-01,3.666666666666666519e+00,7.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,8.800000000000000711e+00,2.260869565217391131e+00,1.229249011857707607e+01,9.565217391304348116e-01,1.498023715415019774e+00,9.000000000000000000e+00,-4.620287102951030067e-01,2.326315789473684337e+00
