sigma,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000056e-01,5.000000000000000278e-02,0.66,0.48,0.94,-0.50,-0.61,0.94,1.00,0.91,0.32,0.65,0.97,0.81
1.000000000000000056e-01,1.000000000000000056e-01,0.70,0.48,0.85,-0.53,-0.55,0.94,0.99,0.90,-0.07,0.43,0.97,0.93
1.000000000000000056e-01,1.500000000000000222e-01,0.84,0.48,0.77,-0.51,-0.45,0.94,0.99,0.91,-0.05,0.60,0.91,0.94
1.000000000000000056e-01,2.000000000000000111e-01,0.58,0.48,0.98,-0.57,-0.46,0.95,1.00,0.94,0.02,0.42,0.99,0.96
1.000000000000000056e-01,2.500000000000000000e-01,0.69,0.48,0.89,-0.53,-0.59,0.94,0.99,0.90,-0.16,0.64,0.94,0.93
1.000000000000000056e-01,2.999999999999999889e-01,0.80,0.48,0.84,-0.64,-0.67,0.95,1.00,0.92,-0.36,0.66,0.95,0.92
1.000000000000000056e-01,3.499999999999999778e-01,0.80,0.48,0.85,-0.55,-0.52,0.95,0.99,0.92,-0.21,0.54,0.92,0.94
1.000000000000000056e-01,4.000000000000000222e-01,0.72,0.48,0.85,-0.51,-0.41,0.94,0.99,0.88,-0.21,0.51,0.91,0.96
1.000000000000000056e-01,4.500000000000000111e-01,0.74,0.48,0.72,-0.49,-0.03,0.95,1.00,0.86,-0.08,0.65,0.86,0.94
1.000000000000000056e-01,5.000000000000000000e-01,0.65,0.48,0.77,-0.56,-0.13,0.95,0.99,0.81,-0.37,0.59,0.85,0.87
2.000000000000000111e-01,5.000000000000000278e-02,0.72,0.48,0.82,-0.63,-0.28,0.94,0.99,0.89,-0.59,0.49,0.94,0.93
2.000000000000000111e-01,1.000000000000000056e-01,0.77,0.48,0.85,-0.53,-0.50,0.95,0.99,0.89,-0.54,0.70,0.94,0.93
2.000000000000000111e-01,1.500000000000000222e-01,0.71,0.48,0.80,-0.52,-0.48,0.94,1.00,0.86,-0.42,0.61,0.91,0.90
2.000000000000000111e-01,2.000000000000000111e-01,0.68,0.48,0.84,-0.59,-0.57,0.95,0.99,0.90,-0.32,0.68,0.94,0.90
