R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1,0.1,-0.14,,,,,,,,,,,
1,0.2,-0.38,,,,,,,,,,,
1,0.3,0.37,,,,,,,,,,,
1,0.4,0.45,,,,,,,,,,,
1,0.5,-0.07,,,,,,,,,,,
1,0.6,0.06,,,,,,,,,,,
1,0.7,-0.29,,,,,,,,,,,
1,0.8,-0.66,,,,,,,,,,,
1,0.9,-0.20,,,,,,,,,,,
1,1,-0.39,,,,,,,,,,,
2,0.1,0.04,,,,,,,,,,,
2,0.2,0.09,,,,,,,,,,,
2,0.3,-0.07,,,,,,,,,,,
2,0.4,-0.35,,,,,,,,,,,
2,0.5,-0.03,,,,,,,,,,,
2,0.6,-0.32,,,,,,,,,,,
2,0.7,-0.24,,,,,,,,,,,
2,0.8,-0.10,,,,,,,,,,,
2,0.9,-0.32,,,,,,,,,,,
2,1,-0.56,,,,,,,,,,,
3,0.1,-0.39,,,,,,,,,,,
3,0.2,0.02,,,,,,,,,,,
3,0.3,0.59,,,,,,,,,,,
3,0.4,0.30,,,,,,,,,,,
3,0.5,0.08,,,,,,,,,,,
3,0.6,0.14,,,,,,,,,,,
3,0.7,-0.19,,,,,,,,,,,
3,0.8,-0.23,,,,,,,,,,,
3,0.9,0.16,,,,,,,,,,,
3,1,-0.14,,,,,,,,,,,
4,0.1,-0.08,,,,,,,,,,,
4,0.2,0.25,,,,,,,,,,,
4,0.3,0.80,,,,,,,,,,,
4,0.4,-0.14,,,,,,,,,,,
4,0.5,-0.17,,,,,,,,,,,
4,0.6,-0.66,,,,,,,,,,,
4,0.7,-0.09,,,,,,,,,,,
4,0.8,0.14,,,,,,,,,,,
4,0.9,-0.28,,,,,,,,,,,
4,1,0.47,,,,,,,,,,,
5,0.1,0.20,,,,,,,,,,,
5,0.2,-0.40,,,,,,,,,,,
5,0.3,0.17,,,,,,,,,,,
5,0.4,0.39,,,,,,,,,,,
5,0.5,-0.18,,,,,,,,,,,
5,0.6,0.14,,,,,,,,,,,
5,0.7,0.47,,,,,,,,,,,
5,0.8,-0.05,,,,,,,,,,,
5,0.9,0.07,,,,,,,,,,,
5,1,-0.50,,,,,,,,,,,
6,0.1,-0.24,,,,,,,,,,,
6,0.2,-0.04,,,,,,,,,,,
6,0.3,0.40,,,,,,,,,,,
6,0.4,0.30,,,,,,,,,,,
6,0.5,-0.02,,,,,,,,,,,
6,0.6,-0.17,,,,,,,,,,,
6,0.7,0.27,,,,,,,,,,,
6,0.8,-0.01,,,,,,,,,,,
6,0.9,0.27,,,,,,,,,,,
6,1,-0.31,,,,,,,,,,,
7,0.1,-0.28,,,,,,,,,,,
7,0.2,0.08,,,,,,,,,,,
7,0.3,0.42,,,,,,,,,,,
7,0.4,0.70,,,,,,,,,,,
7,0.5,0.30,,,,,,,,,,,
7,0.6,0.33,,,,,,,,,,,
7,0.7,0.59,,,,,,,,,,,
7,0.8,0.05,,,,,,,,,,,
7,0.9,-0.79,,,,,,,,,,,
7,1,-0.22,,,,,,,,,,,
8,0.1,-0.14,,,,,,,,,,,
8,0.2,0.43,,,,,,,,,,,
8,0.3,0.47,,,,,,,,,,,
8,0.4,0.53,,,,,,,,,,,
8,0.5,0.41,,,,,,,,,,,
8,0.6,0.19,,,,,,,,,,,
8,0.7,0.56,,,,,,,,,,,
8,0.8,0.31,,,,,,,,,,,
8,0.9,0.20,,,,,,,,,,,
8,1,0.36,,,,,,,,,,,
9,0.1,-0.32,,,,,,,,,,,
9,0.2,0.79,,,,,,,,,,,
9,0.3,0.80,,,,,,,,,,,
9,0.4,0.38,,,,,,,,,,,
9,0.5,0.47,,,,,,,,,,,
9,0.6,0.25,,,,,,,,,,,
9,0.7,0.36,,,,,,,,,,,
9,0.8,0.42,,,,,,,,,,,
9,0.9,0.74,,,,,,,,,,,
9,1,-0.80,,,,,,,,,,,
10,0.1,0.34,,,,,,,,,,,
10,0.2,-0.21,,,,,,,,,,,
10,0.3,0.25,,,,,,,,,,,
10,0.4,0.67,,,,,,,,,,,
10,0.5,0.36,,,,,,,,,,,
10,0.6,-0.01,,,,,,,,,,,
10,0.7,0.37,,,,,,,,,,,
10,0.8,0.37,,,,,,,,,,,
10,0.9,-0.76,,,,,,,,,,,
10,1,-0.47,,,,,,,,,,,
11,0.1,-0.64,,,,,,,,,,,
11,0.2,-0.10,,,,,,,,,,,
11,0.3,-0.23,,,,,,,,,,,
11,0.4,0.45,,,,,,,,,,,
11,0.5,0.36,,,,,,,,,,,
11,0.6,0.68,,,,,,,,,,,
11,0.7,-0.13,,,,,,,,,,,
11,0.8,0.20,,,,,,,,,,,
11,0.9,-0.34,,,,,,,,,,,
11,1,0.32,,,,,,,,,,,
12,0.1,-0.25,,,,,,,,,,,
12,0.2,-0.63,,,,,,,,,,,
12,0.3,0.32,,,,,,,,,,,
12,0.4,0.51,,,,,,,,,,,
12,0.5,0.55,,,,,,,,,,,
12,0.6,-0.45,,,,,,,,,,,
12,0.7,0.32,,,,,,,,,,,
12,0.8,-0.19,,,,,,,,,,,
12,0.9,-0.03,,,,,,,,,,,
12,1,0.26,,,,,,,,,,,
