R0,sigma,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000000e+00,1.000000000000000056e-01,2.500000000000000000e+00,4.000000000000000000e+00,6.000000000000000000e+00,4.000000000000000000e+00,2.150000000000000000e+01,8.695652173913043237e-01,1.209486166007905261e+00,6.521739130434782705e-01,5.098814229249012397e-01,3.000000000000000000e+00,-5.023361725214551265e-01,4.750000000000000000e+00
1.000000000000000000e+00,2.000000000000000111e-01,2.875000000000000000e+00,9.000000000000000000e+00,8.000000000000000000e+00,1.666666666666666741e+00,1.952380952380951440e+00,1.391304347826086918e+00,3.794466403162056078e+00,1.000000000000000000e+00,1.727272727272727293e+00,3.000000000000000000e+00,-5.618270597011909562e-01,4.168067226890756594e+00
1.000000000000000000e+00,3.000000000000000444e-01,2.000000000000000000e+00,3.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.956521739130434590e-01,2.584980237154149929e+00,3.478260869565217295e-01,4.189723320158101338e-01,6.000000000000000000e+00,-3.583183264406412660e-01,3.076923076923077094e+00
1.000000000000000000e+00,4.000000000000000222e-01,5.400000000000000355e+00,1.500000000000000000e+01,5.000000000000000000e+00,1.363636363636363535e+00,4.329004329004328411e-01,2.956521739130434590e+00,9.588932806324111269e+00,1.173913043478260976e+00,6.956521739130435700e-01,9.000000000000000000e+00,-4.158752749029031026e-01,1.870279146141215154e+00
1.000000000000000000e+00,5.000000000000000000e-01,6.333333333333333037e+00,1.500000000000000000e+01,3.000000000000000000e+00,1.500000000000000000e+00,1.066666666666666652e+00,3.043478260869565410e+00,7.588932806324110381e+00,8.260869565217391353e-01,4.229249011857707519e-01,8.000000000000000000e+00,-2.675974307367947058e-01,1.194362017804154297e+00
1.000000000000000000e+00,5.999999999999999778e-01,3.250000000000000000e+00,7.000000000000000000e+00,8.000000000000000000e+00,1.611111111111111160e+00,1.192810457516339850e+00,2.260869565217391131e+00,4.747035573122529328e+00,1.130434782608695565e+00,9.367588932806323321e-01,5.000000000000000000e+00,-5.977590860413278806e-01,4.196202531645569778e+00
1.000000000000000000e+00,6.999999999999999556e-01,4.750000000000000000e+00,1.600000000000000000e+01,8.000000000000000000e+00,1.133333333333333304e+00,3.264367816091952590e-01,3.043478260869565410e+00,5.679841897233202097e+00,1.652173913043478271e+00,1.146245059288538037e+00,5.000000000000000000e+00,-5.936616725615034840e-01,3.779342723004694982e+00
1.000000000000000000e+00,7.999999999999999334e-01,4.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,2.666666666666666519e+00,1.842424242424242564e+01,1.478260869565217295e+00,3.533596837944664504e+00,6.956521739130434590e-01,5.849802371541501511e-01,4.000000000000000000e+00,-3.630978092469441809e-01,2.357142857142857206e+00
1.000000000000000000e+00,8.999999999999999112e-01,3.333333333333333481e+00,8.000000000000000000e+00,3.000000000000000000e+00,1.285714285714285809e+00,2.380952380952381375e-01,9.565217391304348116e-01,2.588932806324110381e+00,4.347826086956521618e-01,3.478260869565217850e-01,6.000000000000000000e+00,-2.798779754464800762e-01,1.343023255813953432e+00
1.000000000000000000e+00,9.999999999999998890e-01,4.500000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00,1.142857142857142794e+00,1.428571428571428770e-01,8.260869565217391353e-01,1.877470355731226226e+00,3.913043478260869734e-01,3.399209486166007710e-01,5.000000000000000000e+00,-1.893770395442626597e-01,1.117647058823529438e+00
2.000000000000000000e+00,1.000000000000000056e-01,1.689999999999999858e+01,2.300000000000000000e+01,1.000000000000000000e+01,1.125786163522012551e+00,5.410397261364541244e-01,9.426086956521739069e+01,2.456292490118576552e+03,7.347826086956521507e+00,1.328063241106719694e+00,5.500000000000000000e+01,-4.141561903103255227e-01,5.802046129298378041e+00
2.000000000000000000e+00,2.000000000000000111e-01,1.850000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.061904761904761907e+00,1.636135794030532387e-01,9.169565217391304657e+01,2.184766798418972485e+03,9.652173913043478493e+00,9.644268774703561586e-01,3.700000000000000000e+01,-3.060187204532831551e-01,8.481448978968895602e+00
2.000000000000000000e+00,3.000000000000000444e-01,1.791666666666666785e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.059113300492610765e+00,1.252011900697459490e-01,8.234782608695651618e+01,1.832328063241106520e+03,9.347826086956521507e+00,2.237154150197627978e+00,3.200000000000000000e+01,-3.054102650037653910e-01,9.239810118753092993e+00
2.000000000000000000e+00,4.000000000000000222e-01,1.673333333333333428e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.046610169491525522e+00,7.015867291741798017e-02,7.717391304347826519e+01,1.411332015810276744e+03,1.091304347826086918e+01,2.083003952569169925e+00,3.000000000000000000e+01,-1.240656885355855277e-01,1.140251453898911471e+01
2.000000000000000000e+00,5.000000000000000000e-01,1.758333333333333215e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.070351758793969932e+00,1.061367443276990952e-01,6.882608695652173481e+01,1.384332015810276516e+03,9.173913043478261642e+00,2.150197628458497157e+00,3.900000000000000000e+01,-3.260424436204241716e-01,9.111272002270263570e+00
2.000000000000000000e+00,5.999999999999999778e-01,1.866666666666666785e+01,2.300000000000000000e+01,1.200000000000000000e+01,1.051886792452830122e+00,8.734239470625057566e-02,6.508695652173912549e+01,1.027264822134387032e+03,9.739130434782609314e+00,2.201581027667983470e+00,2.500000000000000000e+01,-3.250271192463224934e-01,1.050378500070353205e+01
2.000000000000000000e+00,6.999999999999999556e-01,1.678571428571428470e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.081447963800904910e+00,1.296997120526532654e-01,5.773913043478260931e+01,8.176561264822134945e+02,1.021739130434782616e+01,1.905138339920949164e+00,2.500000000000000000e+01,-1.989104311799052838e-01,1.080674556938737929e+01
2.000000000000000000e+00,7.999999999999999334e-01,1.400000000000000000e+01,2.200000000000000000e+01,1.600000000000000000e+01,1.057692307692307709e+00,6.428836863619473430e-02,5.021739130434782794e+01,6.564505928853754995e+02,9.739130434782609314e+00,4.292490118577074298e+00,2.300000000000000000e+01,-1.271359902464777314e-01,1.133643492608910108e+01
2.000000000000000000e+00,8.999999999999999112e-01,1.537500000000000000e+01,2.300000000000000000e+01,1.600000000000000000e+01,1.134782608695652284e+00,2.306626162901081467e-01,4.891304347826086740e+01,6.432648221343872592e+02,1.069565217391304301e+01,5.039525691699605403e+00,2.000000000000000000e+01,-4.772822305999035314e-02,1.291017499438466132e+01
2.000000000000000000e+00,9.999999999999998890e-01,1.368750000000000000e+01,2.200000000000000000e+01,1.600000000000000000e+01,1.172413793103448176e+00,4.701263229771253105e-01,4.300000000000000000e+01,4.879090909090909349e+02,9.521739130434783149e+00,3.442687747035573231e+00,1.700000000000000000e+01,-1.779933224783975809e-01,1.210010649627263035e+01
3.000000000000000000e+00,1.000000000000000056e-01,1.685714285714285765e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.027027027027026973e+00,4.451510333863275409e-02,1.493913043478260931e+02,5.767703557312252997e+03,1.026086956521739069e+01,7.470355731225296614e-01,6.500000000000000000e+01,-2.343673937633036497e-01,8.271354206086904526e+00
3.000000000000000000e+00,2.000000000000000111e-01,1.900000000000000000e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.027777777777777679e+00,2.711376715360778317e-02,1.448260869565217490e+02,5.539695652173913004e+03,1.156521739130434767e+01,1.529644268774703386e+00,4.500000000000000000e+01,-1.506142637323618638e-01,1.078488242077281711e+01
3.000000000000000000e+00,3.000000000000000444e-01,1.893333333333333357e+01,2.300000000000000000e+01,1.500000000000000000e+01,1.026022304832713727e+00,4.782777562004102839e-02,1.396956521739130324e+02,4.917494071146245005e+03,1.234782608695652151e+01,6.916996047430828964e-01,4.100000000000000000e+01,-6.449800064755760454e-02,1.145314712632452725e+01
3.000000000000000000e+00,4.000000000000000222e-01,1.985714285714285765e+01,2.300000000000000000e+01,1.400000000000000000e+01,1.068181818181818121e+00,6.569305219495336079e-01,1.328260869565217490e+02,4.374877470355731930e+03,1.208695652173913082e+01,1.173913043478261198e+00,3.800000000000000000e+01,-1.218312554080236559e-01,1.231711728362465053e+01
3.000000000000000000e+00,5.000000000000000000e-01,1.811111111111111072e+01,2.300000000000000000e+01,1.800000000000000000e+01,1.042207792207792139e+00,5.358729218664073229e-02,1.264782608695652186e+02,3.789169960474308482e+03,1.417391304347826164e+01,2.695652173913043459e+00,3.300000000000000000e+01,2.896839380579807610e-01,1.435845854069210858e+01
3.000000000000000000e+00,5.999999999999999778e-01,1.935294117647058698e+01,2.300000000000000000e+01,1.700000000000000000e+01,1.038461538461538547e+00,4.353203067029432632e-02,1.168695652173912976e+02,3.464845849802371049e+03,1.430434782608695699e+01,3.312252964426877000e+00,2.800000000000000000e+01,2.060031952650988873e-01,1.556512969044971406e+01
3.000000000000000000e+00,6.999999999999999556e-01,1.863157894736842124e+01,2.300000000000000000e+01,1.900000000000000000e+01,1.080597014925373189e+00,1.581553311287872410e-01,1.120000000000000000e+02,3.287636363636363512e+03,1.539130434782608781e+01,3.521739130434781373e+00,2.900000000000000000e+01,4.769660570301770264e-01,1.548228681862953415e+01
3.000000000000000000e+00,7.999999999999999334e-01,2.000000000000000000e+01,2.200000000000000000e+01,1.500000000000000000e+01,1.049122807017543790e+00,4.687422782307882480e-02,9.795652173913043725e+01,2.394952569169960498e+03,1.304347826086956452e+01,3.316205533596839228e+00,2.900000000000000000e+01,-1.973751667587871073e-02,1.362096774193548399e+01
