R0,sigma,weight
0.0,0.5,0.05445615126850947
0.0,0.6666666666666666,0.05400788322032615
0.0,0.8333333333333333,0.05959672410946151
0.0,1.0,0.058022705149561
1.25,0.5,0.05915968822873268
1.25,0.6666666666666666,0.059143898681354494
1.25,0.8333333333333333,0.06071318864322633
1.25,1.0,0.06071206653009135
2.5,0.5,0.04776318813638514
2.5,0.6666666666666666,0.048586975548186105
2.5,0.8333333333333333,0.049474554884001896
2.5,1.0,0.05042299060143095
3.75,0.5,0.04270240582039407
3.75,0.6666666666666666,0.04306265860891323
3.75,0.8333333333333333,0.04347417762737324
3.75,1.0,0.04401062183562103
5.0,0.5,0.040768524565402996
5.0,0.6666666666666666,0.041013315532882906
5.0,0.8333333333333333,0.0412851571254669
5.0,1.0,0.041623123882678525
