R0,sigma,weight
0.0,0.5,0.0457288135293382
0.0,0.6666666666666666,0.04493083258654727
0.0,0.8333333333333333,0.04254861724234095
0.0,1.0,0.045729613209429955
1.25,0.5,0.042270770185009694
1.25,0.6666666666666666,0.04045873734492535
1.25,0.8333333333333333,0.03817057277845756
1.25,1.0,0.03872381487980633
2.5,0.5,0.055013612930370485
2.5,0.6666666666666666,0.055171514548378674
2.5,0.8333333333333333,0.055145168704284465
2.5,1.0,0.05518030515238746
3.75,0.5,0.05516243574550865
3.75,0.6666666666666666,0.05514523791579147
3.75,0.8333333333333333,0.0551710911779772
3.75,1.0,0.055111087530580166
5.0,0.5,0.0551151900525504
5.0,0.6666666666666666,0.055074870835877726
5.0,0.8333333333333333,0.05507334591478829
5.0,1.0,0.05507436773564984
