R0,Dimmunity,avg_time,max_time,num_strains,avg_time_repeat,var_time_repeat,avg_prev,var_prev,avg_div,var_div,max_abundance,avg_npmi,div_all_isolates
1.000000000000000000e+00,5.000000000000000278e-02,0.71,0.74,-0.45,-0.29,0.01,0.59,0.57,0.52,0.48,0.60,0.50,-0.67
1.000000000000000000e+00,1.000000000000000056e-01,-0.03,-0.41,0.29,0.06,0.09,-0.18,-0.32,0.13,-0.20,-0.29,-0.41,0.70
1.000000000000000000e+00,1.500000000000000222e-01,-0.15,-0.37,0.31,-0.35,-0.40,0.00,0.27,0.04,0.51,0.17,-0.23,0.28
1.000000000000000000e+00,2.000000000000000111e-01,-0.43,-0.60,-0.18,-0.14,-0.12,-0.66,-0.69,-0.62,-0.59,-0.72,0.03,0.24
1.000000000000000000e+00,2.500000000000000000e-01,0.26,0.07,-0.54,-0.10,0.03,0.09,0.05,-0.01,-0.21,-0.20,0.49,-0.34
1.000000000000000000e+00,2.999999999999999889e-01,-0.67,-0.83,0.01,0.44,0.16,-0.72,-0.60,-0.65,-0.24,-0.67,-0.14,0.61
1.000000000000000000e+00,3.499999999999999778e-01,-0.27,-0.42,-0.03,-0.26,-0.27,-0.44,-0.36,-0.34,0.05,-0.10,0.06,0.24
1.000000000000000000e+00,4.000000000000000222e-01,0.36,0.27,0.07,0.20,0.31,0.18,-0.09,0.30,-0.04,-0.10,-0.02,0.11
1.000000000000000000e+00,4.500000000000000111e-01,-0.05,0.01,0.25,0.32,0.21,0.05,0.06,0.10,0.08,0.21,-0.33,-0.28
1.000000000000000000e+00,5.000000000000000000e-01,-0.21,-0.62,-0.55,0.48,0.46,-0.61,-0.65,-0.57,-0.41,-0.72,0.57,0.70
2.000000000000000000e+00,5.000000000000000278e-02,0.35,nan,0.80,-0.02,-0.31,-0.85,-0.69,0.85,0.59,-0.82,0.87,0.85
2.000000000000000000e+00,1.000000000000000056e-01,0.50,nan,0.70,-0.13,-0.03,-0.90,-0.94,0.88,0.61,-0.81,0.82,0.92
