avg_time,num_strains,avg_prev,var_prev,avg_div,max_abundance,avg_npmi,div_all_isolates
1.553333333333333321e+01,1.500000000000000000e+01,1.407391304347825951e+02,6.928348707323894473e+01,1.013043478260869534e+01,5.100000000000000000e+01,-1.77E-01,9.227080136500012131e+00
2.033333333333333215e+01,1.500000000000000000e+01,1.243913043478260931e+02,6.278153979579057165e+01,1.326086956521739069e+01,3.100000000000000000e+01,-9.15E-03,1.371924576893541747e+01
1.707142857142857295e+01,1.400000000000000000e+01,1.540000000000000000e+02,7.919710738519316351e+01,1.039130434782608781e+01,5.500000000000000000e+01,-2.16E-01,8.122411682802836097e+00
1.646153846153845990e+01,1.300000000000000000e+01,1.875217391304347814e+02,9.356129229024020333e+01,9.304347826086956985e+00,5.900000000000000000e+01,-2.96E-01,8.520536623224778339e+00
1.906250000000000000e+01,1.600000000000000000e+01,1.687826086956521863e+02,8.461461109682649351e+01,1.326086956521739069e+01,3.400000000000000000e+01,8.504996179877505336e-02,1.288385238597745541e+01
2.206666666666666643e+01,1.500000000000000000e+01,1.218695652173912976e+02,5.952639166242000357e+01,1.439130434782608781e+01,3.000000000000000000e+01,3.052307502404062386e-02,1.419674057256889554e+01
1.063636363636363669e+01,1.100000000000000000e+01,2.278260869565217561e+01,1.178965849508924713e+01,5.086956521739130821e+00,1.400000000000000000e+01,-5.10E-01,5.441642508240340348e+00
2.018750000000000000e+01,1.600000000000000000e+01,1.977826086956521863e+02,9.995360583869950233e+01,1.404347826086956452e+01,4.400000000000000000e+01,9.923481648610574246e-02,1.348018713023534687e+01
2.193750000000000000e+01,1.600000000000000000e+01,1.626521739130434696e+02,7.916932871191754373e+01,1.526086956521739069e+01,3.500000000000000000e+01,1.659469869807892461e-01,1.540967754015053615e+01
7.750000000000000000e+00,4.000000000000000000e+00,5.565217391304347672e+00,5.016573323010272922e+00,1.347826086956521729e+00,1.900000000000000000e+01,-3.39E-01,1.276983503534956821e+00
2.158333333333333215e+01,1.200000000000000000e+01,7.617391304347826519e+01,3.808680536725289301e+01,1.126086956521739069e+01,2.100000000000000000e+01,-2.52E-01,1.129020528636306686e+01
6.299999999999999822e+00,1.000000000000000000e+01,9.956521739130435478e+00,5.850239007313097872e+00,2.739130434782608869e+00,1.300000000000000000e+01,-6.22E-01,2.499856363114047575e+00
1.860000000000000142e+01,1.500000000000000000e+01,1.805217391304347814e+02,9.166533476095500532e+01,1.213043478260869534e+01,5.700000000000000000e+01,-7.97E-02,1.106403226199906875e+01
1.487500000000000000e+01,1.600000000000000000e+01,1.685217391304347814e+02,8.443495052148261948e+01,1.034782608695652151e+01,5.600000000000000000e+01,-1.36E-01,8.411684453883168544e+00
1.900000000000000000e+01,1.500000000000000000e+01,1.170000000000000000e+02,5.896763364916230188e+01,1.239130434782608781e+01,3.100000000000000000e+01,-6.06E-02,1.159360195266329008e+01
1.941176470588235148e+01,1.700000000000000000e+01,1.570869565217391255e+02,7.842420373344759810e+01,1.434782608695652151e+01,3.700000000000000000e+01,1.841387287045574139e-01,1.364314150225396638e+01
1.722222222222222143e+01,1.800000000000000000e+01,1.080869565217391255e+02,5.184146554069545942e+01,1.347826086956521685e+01,2.600000000000000000e+01,2.531180520035298809e-01,1.335692201249702649e+01
2.172727272727272663e+01,1.100000000000000000e+01,1.014347826086956559e+02,5.198935737852902861e+01,1.039130434782608781e+01,3.500000000000000000e+01,-3.20E-01,9.324962292609351167e+00
