avg_prev,var_prev,avg_div,max_abundance,div_all_isolates
1.407391304347825951e+02,6.928348707323894473e+01,1.013043478260869534e+01,5.100000000000000000e+01,9.227080136500012131e+00
1.243913043478260931e+02,6.278153979579057165e+01,1.326086956521739069e+01,3.100000000000000000e+01,1.371924576893541747e+01
1.687826086956521863e+02,8.461461109682649351e+01,1.326086956521739069e+01,3.400000000000000000e+01,1.288385238597745541e+01
1.218695652173912976e+02,5.952639166242000357e+01,1.439130434782608781e+01,3.000000000000000000e+01,1.419674057256889554e+01
2.278260869565217561e+01,1.178965849508924713e+01,5.086956521739130821e+00,1.400000000000000000e+01,5.441642508240340348e+00
1.317826086956521863e+02,6.696943435881716766e+01,1.521739130434782616e+01,3.300000000000000000e+01,1.548347450197591080e+01
1.626521739130434696e+02,7.916932871191754373e+01,1.526086956521739069e+01,3.500000000000000000e+01,1.540967754015053615e+01
5.565217391304347672e+00,5.016573323010272922e+00,1.347826086956521729e+00,1.900000000000000000e+01,1.276983503534956821e+00
7.617391304347826519e+01,3.808680536725289301e+01,1.126086956521739069e+01,2.100000000000000000e+01,1.129020528636306686e+01
1.023478260869565162e+02,5.094347018166507013e+01,1.356521739130434767e+01,4.100000000000000000e+01,1.536321678399263391e+01
9.956521739130435478e+00,5.850239007313097872e+00,2.739130434782608869e+00,1.300000000000000000e+01,2.499856363114047575e+00
1.170000000000000000e+02,5.896763364916230188e+01,1.239130434782608781e+01,3.100000000000000000e+01,1.159360195266329008e+01
1.570869565217391255e+02,7.842420373344759810e+01,1.434782608695652151e+01,3.700000000000000000e+01,1.364314150225396638e+01
1.080869565217391255e+02,5.184146554069545942e+01,1.347826086956521685e+01,2.600000000000000000e+01,1.335692201249702649e+01
1.014347826086956559e+02,5.198935737852902861e+01,1.039130434782608781e+01,3.500000000000000000e+01,9.324962292609351167e+00
1.592173913043478137e+02,8.120846156189028875e+01,1.247826086956521685e+01,4.700000000000000000e+01,1.122494633090971128e+01
1.326521739130434696e+02,6.709667970084264255e+01,8.260869565217390686e+00,5.000000000000000000e+01,7.508036068716456235e+00
1.243478260869565233e+01,8.021709673564389576e+00,2.782608695652173836e+00,1.400000000000000000e+01,3.242759388924251862e+00
1.486086956521739069e+02,7.301042212677880627e+01,1.347826086956521685e+01,3.500000000000000000e+01,1.195168489884467000e+01
1.473913043478260931e+01,1.054090470200536878e+01,3.913043478260869623e+00,1.700000000000000000e+01,6.395512391158741039e+00
8.182608695652173481e+01,4.051784362689990360e+01,7.260869565217391575e+00,3.500000000000000000e+01,6.695342820181112486e+00
1.512608695652174049e+02,7.580550315313787735e+01,1.234782608695652151e+01,4.600000000000000000e+01,1.132075446984085332e+01
5.043478260869564878e+01,2.438670667496111122e+01,7.869565217391304657e+00,2.000000000000000000e+01,8.218451231141647995e+00
2.373913043478260931e+01,1.436288585621208291e+01,4.956521739130434590e+00,1.700000000000000000e+01,5.380818053596614803e+00
1.192608695652173907e+02,5.836111516108862673e+01,1.386956521739130466e+01,3.300000000000000000e+01,1.428808671666628705e+01
9.634782608695651618e+01,4.990318690465677776e+01,7.826086956521739246e+00,4.600000000000000000e+01,6.668677416024041626e+00
6.252173913043478137e+01,3.340096564365847343e+01,9.782608695652173836e+00,2.300000000000000000e+01,1.178083738113155832e+01
1.303478260869565304e+02,6.658051086374652527e+01,1.465217391304347849e+01,3.300000000000000000e+01,1.415278062180834162e+01
5.986956521739130466e+01,3.048741073687195779e+01,9.478260869565216851e+00,2.200000000000000000e+01,1.152119082075666689e+01
1.643913043478260931e+02,8.209791223701056140e+01,1.430434782608695699e+01,3.900000000000000000e+01,1.412064243569122368e+01
8.569565217391304657e+01,4.501659772957353312e+01,1.047826086956521685e+01,2.700000000000000000e+01,1.056735793598955020e+01
1.559130434782608745e+02,7.738564175224701103e+01,1.469565217391304301e+01,3.500000000000000000e+01,1.490376634036179482e+01
4.169565217391304657e+01,2.138911104151467413e+01,8.173913043478261642e+00,1.900000000000000000e+01,9.537434598455277523e+00
2.856521739130434767e+01,1.607885705729031756e+01,6.869565217391304657e+00,2.200000000000000000e+01,8.970029970029969490e+00
1.494347826086956559e+02,7.698572836273943665e+01,1.639130434782608603e+01,2.900000000000000000e+01,1.711476768789310299e+01
1.219130434782608745e+02,6.191336545637288680e+01,1.578260869565217384e+01,2.500000000000000000e+01,1.694268949372054678e+01
1.045652173913043441e+02,5.517148974454477894e+01,1.217391304347826164e+01,3.000000000000000000e+01,1.231494419357587056e+01
5.921739130434782794e+01,3.054498399788138840e+01,9.521739130434783149e+00,2.200000000000000000e+01,1.072981014123639731e+01
2.434782608695652328e+01,1.265848151044182757e+01,3.130434782608695787e+00,2.600000000000000000e+01,3.154309667277967133e+00
8.130434782608695343e+00,5.387733102538555308e+00,2.347826086956521952e+00,1.200000000000000000e+01,3.887994634473507904e+00
6.086956521739130821e+00,4.581713092464442028e+00,1.913043478260869623e+00,1.400000000000000000e+01,2.291028961619967053e+00
1.960869565217391397e+01,1.088676899407876419e+01,3.782608695652173836e+00,2.700000000000000000e+01,3.591018472644914805e+00
1.687826086956521863e+02,8.483993298706106145e+01,1.413043478260869534e+01,3.700000000000000000e+01,1.393636060903187612e+01
1.636956521739130324e+02,8.437817187713930878e+01,1.395652173913043548e+01,3.600000000000000000e+01,1.377664879872610726e+01
1.013478260869565162e+02,5.042420837766155728e+01,1.030434782608695699e+01,3.600000000000000000e+01,9.325440840644906970e+00
9.186956521739129755e+01,4.502858117384606373e+01,1.334782608695652151e+01,2.500000000000000000e+01,1.365553454385224086e+01
3.230434782608695343e+01,1.709714166065272067e+01,7.304347826086956097e+00,1.500000000000000000e+01,8.192742079296202462e+00
1.847826086956521863e+01,1.152416262080121534e+01,4.304347826086956097e+00,1.700000000000000000e+01,6.040493429873960984e+00
1.095652173913043441e+02,5.558353752927907010e+01,9.391304347826087806e+00,3.900000000000000000e+01,8.734468780701247326e+00
1.433913043478260931e+02,7.106958122498029695e+01,1.200000000000000000e+01,4.100000000000000000e+01,1.022284251932970278e+01
1.194347826086956559e+02,5.876519230026357121e+01,1.265217391304347849e+01,3.300000000000000000e+01,1.255135176508173167e+01
1.340000000000000000e+02,6.516761605136544233e+01,1.621739130434782439e+01,2.600000000000000000e+01,1.587379721696567714e+01
1.021739130434782616e+01,6.748444411587353642e+00,2.478260869565217295e+00,1.100000000000000000e+01,3.170548892988930056e+00
1.098695652173912976e+02,5.510593463158531335e+01,8.391304347826087806e+00,4.000000000000000000e+01,7.728858010490475827e+00
