avg_prev,var_prev,avg_div,max_abundance,avg_npmi
1.407391304347825951e+02,6.928348707323894473e+01,1.013043478260869534e+01,5.100000000000000000e+01,-1.77E-01
1.243913043478260931e+02,6.278153979579057165e+01,1.326086956521739069e+01,3.100000000000000000e+01,-9.15E-03
1.540000000000000000e+02,7.919710738519316351e+01,1.039130434782608781e+01,5.500000000000000000e+01,-2.16E-01
1.875217391304347814e+02,9.356129229024020333e+01,9.304347826086956985e+00,5.900000000000000000e+01,-2.96E-01
1.687826086956521863e+02,8.461461109682649351e+01,1.326086956521739069e+01,3.400000000000000000e+01,8.504996179877505336e-02
1.218695652173912976e+02,5.952639166242000357e+01,1.439130434782608781e+01,3.000000000000000000e+01,3.052307502404062386e-02
2.278260869565217561e+01,1.178965849508924713e+01,5.086956521739130821e+00,1.400000000000000000e+01,-5.10E-01
1.977826086956521863e+02,9.995360583869950233e+01,1.404347826086956452e+01,4.400000000000000000e+01,9.923481648610574246e-02
1.626521739130434696e+02,7.916932871191754373e+01,1.526086956521739069e+01,3.500000000000000000e+01,1.659469869807892461e-01
5.565217391304347672e+00,5.016573323010272922e+00,1.347826086956521729e+00,1.900000000000000000e+01,-3.39E-01
7.617391304347826519e+01,3.808680536725289301e+01,1.126086956521739069e+01,2.100000000000000000e+01,-2.52E-01
1.023478260869565162e+02,5.094347018166507013e+01,1.356521739130434767e+01,4.100000000000000000e+01,2.545254612867324795e-01
9.956521739130435478e+00,5.850239007313097872e+00,2.739130434782608869e+00,1.300000000000000000e+01,-6.22E-01
1.805217391304347814e+02,9.166533476095500532e+01,1.213043478260869534e+01,5.700000000000000000e+01,-7.97E-02
1.685217391304347814e+02,8.443495052148261948e+01,1.034782608695652151e+01,5.600000000000000000e+01,-1.36E-01
1.170000000000000000e+02,5.896763364916230188e+01,1.239130434782608781e+01,3.100000000000000000e+01,-6.06E-02
1.570869565217391255e+02,7.842420373344759810e+01,1.434782608695652151e+01,3.700000000000000000e+01,1.841387287045574139e-01
1.080869565217391255e+02,5.184146554069545942e+01,1.347826086956521685e+01,2.600000000000000000e+01,2.531180520035298809e-01
1.014347826086956559e+02,5.198935737852902861e+01,1.039130434782608781e+01,3.500000000000000000e+01,-3.20E-01
1.592173913043478137e+02,8.120846156189028875e+01,1.247826086956521685e+01,4.700000000000000000e+01,-1.45E-01
1.326521739130434696e+02,6.709667970084264255e+01,8.260869565217390686e+00,5.000000000000000000e+01,-3.82E-01
1.243478260869565233e+01,8.021709673564389576e+00,2.782608695652173836e+00,1.400000000000000000e+01,-5.50E-01
1.486086956521739069e+02,7.301042212677880627e+01,1.347826086956521685e+01,3.500000000000000000e+01,7.156810550471891241e-02
1.473913043478260931e+01,1.054090470200536878e+01,3.913043478260869623e+00,1.700000000000000000e+01,-5.82E-01
8.182608695652173481e+01,4.051784362689990360e+01,7.260869565217391575e+00,3.500000000000000000e+01,-4.29E-01
1.512608695652174049e+02,7.580550315313787735e+01,1.234782608695652151e+01,4.600000000000000000e+01,1.309878584824714434e-02
5.043478260869564878e+01,2.438670667496111122e+01,7.869565217391304657e+00,2.000000000000000000e+01,-3.08E-01
2.373913043478260931e+01,1.436288585621208291e+01,4.956521739130434590e+00,1.700000000000000000e+01,-4.86E-01
1.192608695652173907e+02,5.836111516108862673e+01,1.386956521739130466e+01,3.300000000000000000e+01,1.047680667963465095e-01
9.634782608695651618e+01,4.990318690465677776e+01,7.826086956521739246e+00,4.600000000000000000e+01,-3.85E-01
6.252173913043478137e+01,3.340096564365847343e+01,9.782608695652173836e+00,2.300000000000000000e+01,-2.29E-01
5.986956521739130466e+01,3.048741073687195779e+01,9.478260869565216851e+00,2.200000000000000000e+01,-1.71E-01
8.569565217391304657e+01,4.501659772957353312e+01,1.047826086956521685e+01,2.700000000000000000e+01,-1.63E-01
1.559130434782608745e+02,7.738564175224701103e+01,1.469565217391304301e+01,3.500000000000000000e+01,1.330573081407306901e-01
4.169565217391304657e+01,2.138911104151467413e+01,8.173913043478261642e+00,1.900000000000000000e+01,-3.17E-01
2.856521739130434767e+01,1.607885705729031756e+01,6.869565217391304657e+00,2.200000000000000000e+01,-3.96E-01
1.045652173913043441e+02,5.517148974454477894e+01,1.217391304347826164e+01,3.000000000000000000e+01,1.055971809740153949e-01
5.921739130434782794e+01,3.054498399788138840e+01,9.521739130434783149e+00,2.200000000000000000e+01,-2.68E-01
1.906086956521739069e+02,9.560369864014617747e+01,1.313043478260869534e+01,5.300000000000000000e+01,-1.42E-02
2.434782608695652328e+01,1.265848151044182757e+01,3.130434782608695787e+00,2.600000000000000000e+01,-4.97E-01
8.130434782608695343e+00,5.387733102538555308e+00,2.347826086956521952e+00,1.200000000000000000e+01,-5.65E-01
6.086956521739130821e+00,4.581713092464442028e+00,1.913043478260869623e+00,1.400000000000000000e+01,-3.95E-01
1.960869565217391397e+01,1.088676899407876419e+01,3.782608695652173836e+00,2.700000000000000000e+01,-6.22E-01
1.636956521739130324e+02,8.437817187713930878e+01,1.395652173913043548e+01,3.600000000000000000e+01,2.543973115243695557e-02
1.013478260869565162e+02,5.042420837766155728e+01,1.030434782608695699e+01,3.600000000000000000e+01,-1.88E-01
9.186956521739129755e+01,4.502858117384606373e+01,1.334782608695652151e+01,2.500000000000000000e+01,1.416059574636756024e-01
3.230434782608695343e+01,1.709714166065272067e+01,7.304347826086956097e+00,1.500000000000000000e+01,-3.16E-01
1.847826086956521863e+01,1.152416262080121534e+01,4.304347826086956097e+00,1.700000000000000000e+01,-5.77E-01
1.095652173913043441e+02,5.558353752927907010e+01,9.391304347826087806e+00,3.900000000000000000e+01,-2.76E-01
1.433913043478260931e+02,7.106958122498029695e+01,1.200000000000000000e+01,4.100000000000000000e+01,-2.23E-03
1.194347826086956559e+02,5.876519230026357121e+01,1.265217391304347849e+01,3.300000000000000000e+01,-4.19E-02
1.021739130434782616e+01,6.748444411587353642e+00,2.478260869565217295e+00,1.100000000000000000e+01,-5.19E-01
1.098695652173912976e+02,5.510593463158531335e+01,8.391304347826087806e+00,4.000000000000000000e+01,-3.56E-01
2.143478260869565233e+01,1.231712070455562724e+01,4.304347826086956097e+00,1.400000000000000000e+01,-5.30E-01
4.347826086956521618e-01,8.434823356732996658e-01,2.608695652173912971e-01,3.000000000000000000e+00,-3.68E-01
7.965217391304348382e+01,4.135721185394412203e+01,7.956521739130434590e+00,3.600000000000000000e+01,-3.61E-01
1.631739130434782510e+02,8.045362988246596103e+01,1.226086956521739069e+01,4.800000000000000000e+01,-1.21E-01
1.770434782608695627e+02,8.437388558772175884e+01,1.291304347826086918e+01,3.900000000000000000e+01,-8.73E-02
1.553043478260869676e+02,7.815045790746363252e+01,1.121739130434782616e+01,4.300000000000000000e+01,-2.08E-01
1.613043478260869676e+02,8.090254225840816105e+01,1.117391304347826164e+01,5.600000000000000000e+01,-4.67E-02
4.721739130434782794e+01,2.421298772773730335e+01,5.869565217391304657e+00,2.700000000000000000e+01,-5.09E-01
1.395217391304347814e+02,7.117511667149960886e+01,1.117391304347826164e+01,4.900000000000000000e+01,-1.07E-01
5.586956521739130466e+01,3.104586687149146940e+01,3.956521739130434590e+00,4.300000000000000000e+01,-4.68E-01
1.691739130434782510e+02,8.467781300795549271e+01,1.382608695652173836e+01,3.700000000000000000e+01,1.467528358477849515e-01
