nohup: ignoring input
T's size 460
True True
s_obs [135.43478261  68.16679149   6.95652174  65.          -0.3990455 ]
scale [2.2e+02 1.2e+04 1.8e+01 6.0e+01 8.0e-01]
dist 0.7971870049640088 number:  0
dist 0.4874566707432302 number:  50
dist 0.7068797319223836 number:  100
dist 0.34517803224661614 number:  150
dist 0.4364730698272905 number:  200
dist 0.9138415530256498 number:  250
dist nan number:  300
dist 0.46058779482487827 number:  350
dist nan number:  400
dist nan number:  450
dist 0.41682275079040165 number:  500
dist nan number:  550
dist 0.25205774339866943 number:  600
dist 0.20156389522835202 number:  650
dist 1.0116282252627289 number:  700
dist 0.20988184460273063 number:  750
dist 0.07128787950630354 number:  800
dist 0.1794505481170447 number:  850
dist nan number:  900
dist 0.9059297023392968 number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.39971588386195983 number:  1100
dist nan number:  1150
dist 0.8279080489105171 number:  1200
dist 0.6526613218486756 number:  1250
dist 0.17350630664148103 number:  1300
dist 0.3579754074845774 number:  1350
dist 0.26146391012101355 number:  1400
dist 0.25664654687195637 number:  1450
eps:  0.2839033189275208
dists:  1145
dist 0.21887608890352986 accepted:  30 trials:  185
dist 0.23288134454462403 accepted:  60 trials:  396
dist 0.25205774339866943 accepted:  90 trials:  601
dist 0.279182210410947 accepted:  120 trials:  761
dist 0.2818324315545678 accepted:  150 trials:  944
dist 0.09257079453689993 accepted:  180 trials:  1140
dist 0.24649239306221654 accepted:  210 trials:  1359
dist 0.18170430912898097 accepted:  240 trials:  1569
dist 0.2234248305149734 accepted:  270 trials:  1808
dist 0.20107702746173622 accepted:  300 trials:  2119
dist 0.20450179369537033 accepted:  330 trials:  2371
dist 0.23286264990943423 accepted:  360 trials:  2555
dist 0.24640319466902982 accepted:  390 trials:  2729
dist 0.22311498823394885 accepted:  420 trials:  2955
dist 0.21596251983391018 accepted:  450 trials:  3139
dist 0.2084891755592392 accepted:  480 trials:  3317
dist 0.13785659818089635 accepted:  510 trials:  3509
dist 0.1336506880698196 accepted:  540 trials:  3673
dist 0.25411597906031275 accepted:  570 trials:  3915
dist 0.1710134523923626 accepted:  600 trials:  4066
dist 0.05949045536768406 accepted:  630 trials:  4243
dist 0.21016965161617682 accepted:  660 trials:  4462
dist 0.27358729368687196 accepted:  690 trials:  4720
dist 0.2108554844456455 accepted:  720 trials:  4916
dist 0.2775952942318721 accepted:  750 trials:  5060
dist 0.23581616314247522 accepted:  780 trials:  5269
dist 0.20785798685948012 accepted:  810 trials:  5472
dist 0.19338059077237923 accepted:  840 trials:  5646
dist 0.1389427367015722 accepted:  870 trials:  5865
dist 0.21133961046172997 accepted:  900 trials:  6103
dist 0.2662117151210249 accepted:  930 trials:  6330
dist 0.28250808682079653 accepted:  960 trials:  6491
dist 0.1135355504418411 accepted:  990 trials:  6669
dist 0.1276254750466049 accepted:  1020 trials:  6870
dist 0.166977977589646 accepted:  1050 trials:  7084
dist 0.22741172963509665 accepted:  1080 trials:  7258
dist 0.22853982938193906 accepted:  1110 trials:  7420
dist 0.20899288484982875 accepted:  1140 trials:  7651
dist 0.2808585045592322 accepted:  1170 trials:  7871
dist 0.2788339349512019 accepted:  1200 trials:  8077
dist 0.2555663937850808 accepted:  1230 trials:  8261
dist 0.2140159162401144 accepted:  1260 trials:  8475
dist 0.050487038546471456 accepted:  1290 trials:  8678
dist 0.2784933353657955 accepted:  1320 trials:  8900
dist 0.22711806912312318 accepted:  1350 trials:  9144
dist 0.19716258888748572 accepted:  1380 trials:  9330
dist 0.19927500871120712 accepted:  1410 trials:  9541
dist 0.24746420528621835 accepted:  1440 trials:  9673
dist 0.07015019511052521 accepted:  1470 trials:  9895
dist 0.20683008802189445 accepted:  1500 trials:  10122
dist 0.1980715608897858 accepted:  1530 trials:  10269
dist 0.24819767354161965 accepted:  1560 trials:  10459
dist 0.2293450628490932 accepted:  1590 trials:  10612
dist 0.20238196634195296 accepted:  1620 trials:  10798
dist 0.14006100811964756 accepted:  1650 trials:  11000
dist 0.06905410059501796 accepted:  1680 trials:  11196
dist 0.1357769451718097 accepted:  1710 trials:  11384
dist 0.21302910539325293 accepted:  1740 trials:  11558
dist 0.26256299622181983 accepted:  1770 trials:  11760
dist 0.1532831807452797 accepted:  1800 trials:  11962
dist 0.2716526395696673 accepted:  1830 trials:  12184
dist 0.08380623086227763 accepted:  1860 trials:  12350
dist 0.16482275762209225 accepted:  1890 trials:  12575
dist 0.2839001510621623 accepted:  1920 trials:  12838
dist 0.2443134155718616 accepted:  1950 trials:  13045
dist 0.25360401122725323 accepted:  1980 trials:  13307
Accepted:  2000 Trials:  13435 Acceptance rate:  0.148864905098623
Posterior mean R0:  5.131630115010965
Posterior mean sigma:  0.4324758903451036
Elapsed: 49245.3384 s
