nohup: ignoring input
T's size 460
True True
s_obs [134.82608696  66.15110263   5.91304348  69.          -0.38594157]
scale [2.2e+02 1.2e+04 1.8e+01 6.0e+01 8.0e-01]
dist 0.48379197334953483 number:  0
dist 0.09372117874029202 number:  50
dist 0.4276176654439223 number:  100
dist nan number:  150
dist 0.3438434249004047 number:  200
dist 0.6977653405261686 number:  250
dist nan number:  300
dist 0.12097761309119373 number:  350
dist nan number:  400
dist nan number:  450
dist 0.10063812250028649 number:  500
dist nan number:  550
dist 0.14152266922419895 number:  600
dist 0.7141871284628458 number:  650
dist 0.6608285566760892 number:  700
dist 0.4601178448342227 number:  750
dist 0.6810549944491582 number:  800
dist 0.4817229785341402 number:  850
dist nan number:  900
dist nan number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.2582338442040068 number:  1100
dist 1.3761901123169742 number:  1150
dist 0.5382389434061275 number:  1200
dist 0.31287080413990226 number:  1250
dist 0.5017930463777773 number:  1300
dist 0.40935998852316946 number:  1350
dist 0.2079129537613571 number:  1400
dist 0.14788295178836597 number:  1450
eps:  0.25042219399013976
dists:  907
dist 0.07606275120148447 accepted:  30 trials:  262
dist 0.1557904482617237 accepted:  60 trials:  520
dist 0.23642551324200245 accepted:  90 trials:  775
dist 0.23306432498966545 accepted:  120 trials:  1020
dist 0.166304390472597 accepted:  150 trials:  1266
dist 0.18202458957106618 accepted:  180 trials:  1485
dist 0.1868074181256515 accepted:  210 trials:  1709
dist 0.12087774453285983 accepted:  240 trials:  1959
dist 0.10750937027189296 accepted:  270 trials:  2160
dist 0.15838642171339937 accepted:  300 trials:  2360
dist 0.16685219842548352 accepted:  330 trials:  2558
dist 0.22954131965131763 accepted:  360 trials:  2925
dist 0.2207372306558211 accepted:  390 trials:  3144
dist 0.17134040379832535 accepted:  420 trials:  3342
dist 0.20906648275131032 accepted:  450 trials:  3697
dist 0.22931796809464244 accepted:  480 trials:  3935
dist 0.17195064782049346 accepted:  510 trials:  4205
dist 0.24420875456690896 accepted:  540 trials:  4474
dist 0.2324656541340051 accepted:  570 trials:  4654
dist 0.03542172781453801 accepted:  600 trials:  4859
dist 0.2455738540614746 accepted:  630 trials:  5179
dist 0.2256656735438336 accepted:  660 trials:  5490
dist 0.234559638640693 accepted:  690 trials:  5721
dist 0.10385049335685505 accepted:  720 trials:  6018
dist 0.15394590029869118 accepted:  750 trials:  6290
dist 0.21948592816300522 accepted:  780 trials:  6477
dist 0.1977420200131914 accepted:  810 trials:  6731
dist 0.24901201522146235 accepted:  840 trials:  6974
dist 0.18529724024928731 accepted:  870 trials:  7232
dist 0.1954891991698733 accepted:  900 trials:  7401
dist 0.24029279625477742 accepted:  930 trials:  7564
dist 0.15493855259258735 accepted:  960 trials:  7815
dist 0.2353036634382736 accepted:  990 trials:  8088
dist 0.222132358809495 accepted:  1020 trials:  8362
dist 0.16736078556966663 accepted:  1050 trials:  8704
dist 0.2229814568533624 accepted:  1080 trials:  8935
dist 0.1772434314029687 accepted:  1110 trials:  9170
dist 0.15633579503442252 accepted:  1140 trials:  9469
dist 0.21924914662091308 accepted:  1170 trials:  9815
dist 0.13999880190467348 accepted:  1200 trials:  10053
dist 0.18948674137827298 accepted:  1230 trials:  10341
dist 0.21621750675471227 accepted:  1260 trials:  10642
dist 0.21008341781041898 accepted:  1290 trials:  10913
dist 0.2175468151850758 accepted:  1320 trials:  11184
dist 0.1832562323981204 accepted:  1350 trials:  11414
dist 0.24147177114750124 accepted:  1380 trials:  11646
dist 0.22678101802763911 accepted:  1410 trials:  11915
dist 0.1863538309397554 accepted:  1440 trials:  12166
dist 0.11339037057065836 accepted:  1470 trials:  12419
dist 0.13012199933821614 accepted:  1500 trials:  12805
dist 0.2069720161611177 accepted:  1530 trials:  13144
dist 0.10561774579770764 accepted:  1560 trials:  13426
dist 0.1170102906886458 accepted:  1590 trials:  13674
dist 0.15289055183892944 accepted:  1620 trials:  13886
dist 0.21170601633624525 accepted:  1650 trials:  14113
dist 0.044210280911924846 accepted:  1680 trials:  14333
dist 0.2395126489794599 accepted:  1710 trials:  14586
dist 0.06641646975114367 accepted:  1740 trials:  14888
dist 0.23402607334366587 accepted:  1770 trials:  15193
dist 0.16354915062888833 accepted:  1800 trials:  15510
dist 0.056609557353096696 accepted:  1830 trials:  15728
dist 0.17895458949118043 accepted:  1860 trials:  15946
dist 0.20628886257190204 accepted:  1890 trials:  16238
dist 0.1295195499552509 accepted:  1920 trials:  16442
dist 0.10208315859693604 accepted:  1950 trials:  16654
dist 0.15690439904770767 accepted:  1980 trials:  16848
Accepted:  2000 Trials:  16996 Acceptance rate:  0.11767474699929395
Posterior mean R0:  4.230921963417084
Posterior mean sigma:  0.36036965589244585
Elapsed: 49664.2692 s
