nohup: ignoring input
T's size 460
True True
s_obs [106.65217391  53.17177027   6.86956522  46.          -0.4022842 ]
scale [2.2e+02 1.2e+04 1.8e+01 6.0e+01 8.0e-01]
dist 1.0391684637124188 number:  0
dist 0.5957088468244922 number:  50
dist 0.8672797372464259 number:  100
dist 0.35479827805219905 number:  150
dist 0.35757295252035104 number:  200
dist 1.130039931805911 number:  250
dist nan number:  300
dist 0.6060589325356049 number:  350
dist nan number:  400
dist nan number:  450
dist 0.4810506719801953 number:  500
dist nan number:  550
dist 0.5376270341435239 number:  600
dist 0.09841876876180052 number:  650
dist 1.0781052165608311 number:  700
dist 0.10888267201298439 number:  750
dist 0.45373383529923844 number:  800
dist 0.2098221743605561 number:  850
dist nan number:  900
dist nan number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.5391042900182621 number:  1100
dist nan number:  1150
dist 0.9439755994586938 number:  1200
dist 0.8024827832387428 number:  1250
dist 0.2987760321590839 number:  1300
dist 0.38225654628773326 number:  1350
dist 0.32497909475347975 number:  1400
dist 0.5869596516446735 number:  1450
eps:  0.29401707912281216
dists:  1053
dist 0.201026429643473 accepted:  30 trials:  195
dist 0.290224133884493 accepted:  60 trials:  408
dist 0.06438015937745914 accepted:  90 trials:  597
dist 0.25798461390686517 accepted:  120 trials:  794
dist 0.11079231374463365 accepted:  150 trials:  1024
dist 0.27671568822874815 accepted:  180 trials:  1261
dist 0.1867670156097377 accepted:  210 trials:  1495
dist 0.15174517703114992 accepted:  240 trials:  1732
dist 0.24995989285893655 accepted:  270 trials:  1988
dist 0.09193894181725884 accepted:  300 trials:  2193
dist 0.20110702613697523 accepted:  330 trials:  2421
dist 0.27642236153252236 accepted:  360 trials:  2584
dist 0.20533173196659357 accepted:  390 trials:  2779
dist 0.27758816705935413 accepted:  420 trials:  3010
dist 0.17690299897076533 accepted:  450 trials:  3246
dist 0.19065869370287694 accepted:  480 trials:  3416
dist 0.22468532149169992 accepted:  510 trials:  3601
dist 0.1512405009384196 accepted:  540 trials:  3798
dist 0.23434354006812078 accepted:  570 trials:  3976
dist 0.2603437959878391 accepted:  600 trials:  4123
dist 0.2802240058111769 accepted:  630 trials:  4320
dist 0.05600348830028549 accepted:  660 trials:  4463
dist 0.18598882242125878 accepted:  690 trials:  4729
dist 0.14745920416509672 accepted:  720 trials:  4943
dist 0.21112999254396594 accepted:  750 trials:  5153
dist 0.1254447905856257 accepted:  780 trials:  5372
dist 0.1546617186792843 accepted:  810 trials:  5577
dist 0.24471058129052103 accepted:  840 trials:  5752
dist 0.18694817672485894 accepted:  870 trials:  5935
dist 0.11918342615663965 accepted:  900 trials:  6143
dist 0.210129250952309 accepted:  930 trials:  6343
dist 0.292483938151617 accepted:  960 trials:  6507
dist 0.23376479012985923 accepted:  990 trials:  6681
dist 0.2636308002684323 accepted:  1020 trials:  6908
dist 0.13846179110698287 accepted:  1050 trials:  7121
dist 0.2156127224967123 accepted:  1080 trials:  7307
dist 0.06664800723686311 accepted:  1110 trials:  7495
dist 0.27554503273197356 accepted:  1140 trials:  7661
dist 0.279334514046979 accepted:  1170 trials:  7893
dist 0.211866680102065 accepted:  1200 trials:  8100
dist 0.21794426098778083 accepted:  1230 trials:  8311
dist 0.1601744370292569 accepted:  1260 trials:  8569
dist 0.24756516304601756 accepted:  1290 trials:  8781
dist 0.060401841222405044 accepted:  1320 trials:  9004
dist 0.2865871216555597 accepted:  1350 trials:  9205
dist 0.26157141186996186 accepted:  1380 trials:  9412
dist 0.22130494772490644 accepted:  1410 trials:  9659
dist 0.2608479067393184 accepted:  1440 trials:  9876
dist 0.16209360547546942 accepted:  1470 trials:  10079
dist 0.1843407262062321 accepted:  1500 trials:  10219
dist 0.2379020840920648 accepted:  1530 trials:  10358
dist 0.289109792023517 accepted:  1560 trials:  10558
dist 0.2574334301063934 accepted:  1590 trials:  10720
dist 0.19933280182324284 accepted:  1620 trials:  10921
dist 0.28167323921108306 accepted:  1650 trials:  11120
dist 0.2876096662801338 accepted:  1680 trials:  11281
dist 0.28061562644128857 accepted:  1710 trials:  11447
dist 0.11781091890063851 accepted:  1740 trials:  11637
dist 0.13300783326119747 accepted:  1770 trials:  11849
dist 0.2879604401513004 accepted:  1800 trials:  12054
dist 0.2269350109380282 accepted:  1830 trials:  12210
dist 0.12660277535864353 accepted:  1860 trials:  12420
dist 0.07657445112367475 accepted:  1890 trials:  12589
dist 0.2020361484046351 accepted:  1920 trials:  12796
dist 0.18670446473001506 accepted:  1950 trials:  13013
dist 0.18627737572975023 accepted:  1980 trials:  13227
Accepted:  2000 Trials:  13365 Acceptance rate:  0.14964459408903855
Posterior mean R0:  6.413358664228477
Posterior mean sigma:  0.6286819147210548
Elapsed: 46209.6320 s
