nohup: ignoring input
T's size 460
True True
s_obs [161.91304348  79.72561642   8.34782609  57.          -0.39135089]
scale [2.2e+02 1.2e+04 1.8e+01 6.0e+01 8.0e-01]
dist 0.7613922034225358 number:  0
dist 0.32814001239600044 number:  50
dist 0.5890707426673822 number:  100
dist 0.6615885648905557 number:  150
dist 0.06951234230172355 number:  200
dist 0.8281270256560299 number:  250
dist nan number:  300
dist 0.2875045493714598 number:  350
dist nan number:  400
dist nan number:  450
dist 0.25785500984811877 number:  500
dist nan number:  550
dist 0.27123739336360014 number:  600
dist 0.39248633337010747 number:  650
dist 0.8087043502839806 number:  700
dist 0.2901590749094148 number:  750
dist 0.49672161293054057 number:  800
dist 0.20056977201029488 number:  850
dist nan number:  900
dist nan number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.31132297776400714 number:  1100
dist nan number:  1150
dist 0.6807625680569136 number:  1200
dist 0.5100031926093849 number:  1250
dist 0.12223071852054866 number:  1300
dist 0.22349598936231643 number:  1350
dist 0.13870901263391291 number:  1400
dist 0.3197303306271242 number:  1450
eps:  0.24180101345382232
dists:  1053
dist 0.07398607032795844 accepted:  30 trials:  194
dist 0.163032187502807 accepted:  60 trials:  396
dist 0.1903915965010872 accepted:  90 trials:  537
dist 0.1689462444757923 accepted:  120 trials:  794
dist 0.22508471345348574 accepted:  150 trials:  1024
dist 0.1755067239202794 accepted:  180 trials:  1245
dist 0.18218554415620739 accepted:  210 trials:  1476
dist 0.1927213913287578 accepted:  240 trials:  1673
dist 0.14097126546230537 accepted:  270 trials:  1916
dist 0.16609217009853405 accepted:  300 trials:  2184
dist 0.20472526629137996 accepted:  330 trials:  2401
dist 0.18821558214008915 accepted:  360 trials:  2546
dist 0.19937424446362034 accepted:  390 trials:  2729
dist 0.18089854582262843 accepted:  420 trials:  2934
dist 0.17641519780042184 accepted:  450 trials:  3221
dist 0.14187873200500378 accepted:  480 trials:  3469
dist 0.16144417700987657 accepted:  510 trials:  3727
dist 0.1969696371532691 accepted:  540 trials:  3892
dist 0.21735227103524873 accepted:  570 trials:  4035
dist 0.052124845067135425 accepted:  600 trials:  4210
dist 0.19390180291958475 accepted:  630 trials:  4373
dist 0.1727265936759764 accepted:  660 trials:  4583
dist 0.14085140102982505 accepted:  690 trials:  4803
dist 0.12517456705464458 accepted:  720 trials:  4992
dist 0.20771486971220268 accepted:  750 trials:  5270
dist 0.15994818934170343 accepted:  780 trials:  5451
dist 0.2212855995846079 accepted:  810 trials:  5709
dist 0.14185802089094465 accepted:  840 trials:  5866
dist 0.21160099007857755 accepted:  870 trials:  6127
dist 0.11568935892753449 accepted:  900 trials:  6341
dist 0.24039424571986412 accepted:  930 trials:  6448
dist 0.22880251753331177 accepted:  960 trials:  6640
dist 0.2086206349219105 accepted:  990 trials:  6860
dist 0.22312939563061818 accepted:  1020 trials:  7170
dist 0.1570159422888372 accepted:  1050 trials:  7307
dist 0.21310512576465845 accepted:  1080 trials:  7501
dist 0.23628318257924547 accepted:  1110 trials:  7758
dist 0.12813336117995489 accepted:  1140 trials:  8029
dist 0.19838461831040374 accepted:  1170 trials:  8252
dist 0.2159202597940978 accepted:  1200 trials:  8452
dist 0.22096624907731252 accepted:  1230 trials:  8733
dist 0.1856637562084846 accepted:  1260 trials:  8973
dist 0.13633593247872258 accepted:  1290 trials:  9162
dist 0.060486019985758414 accepted:  1320 trials:  9311
dist 0.21203423822777961 accepted:  1350 trials:  9555
dist 0.21074427997456324 accepted:  1380 trials:  9776
dist 0.1692244886939707 accepted:  1410 trials:  10000
dist 0.11507680846944432 accepted:  1440 trials:  10165
dist 0.12015879766731914 accepted:  1470 trials:  10337
dist 0.10717318630240946 accepted:  1500 trials:  10534
dist 0.20016361017640846 accepted:  1530 trials:  10752
dist 0.10992585108015208 accepted:  1560 trials:  10914
dist 0.22048626435992902 accepted:  1590 trials:  11125
dist 0.12517938520018254 accepted:  1620 trials:  11310
dist 0.11481820951673444 accepted:  1650 trials:  11467
dist 0.10376754460064178 accepted:  1680 trials:  11682
dist 0.1361891086143546 accepted:  1710 trials:  11910
dist 0.21713601563254223 accepted:  1740 trials:  12095
dist 0.19479173611418066 accepted:  1770 trials:  12264
dist 0.22343523031510504 accepted:  1800 trials:  12450
dist 0.23356949847904937 accepted:  1830 trials:  12656
dist 0.12130908955772353 accepted:  1860 trials:  13006
dist 0.11580326887203247 accepted:  1890 trials:  13216
dist 0.10401354161351653 accepted:  1920 trials:  13455
dist 0.23554584534088938 accepted:  1950 trials:  13632
dist 0.15494304588372637 accepted:  1980 trials:  13766
Accepted:  2000 Trials:  13925 Acceptance rate:  0.1436265709156194
Posterior mean R0:  6.3709342554808375
Posterior mean sigma:  0.48758740022690356
Elapsed: 47995.5300 s
