nohup: ignoring input
T's size 920
True True
s_obs [13.95652174  8.40713042 -0.05        1.        ]
scale [5.20e+02 5.67e+04 4.48e-01 2.64e+01]
dist 0.3580730086595149 number:  0
dist 0.10891399950093802 number:  50
dist 0.4270102511759432 number:  100
dist nan number:  150
dist 0.021070447231608915 number:  200
dist 0.5896209465520973 number:  250
dist nan number:  300
dist 0.22684793460602712 number:  350
dist nan number:  400
dist nan number:  450
dist 0.2177653420888477 number:  500
dist nan number:  550
dist 0.11250013073545302 number:  600
dist nan number:  650
dist 0.5911068190858659 number:  700
dist nan number:  750
dist nan number:  800
dist 0.0023414034913438837 number:  850
dist nan number:  900
dist nan number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.21478775483165652 number:  1100
dist nan number:  1150
dist 0.4228479560859782 number:  1200
dist 0.33351973466707224 number:  1250
dist nan number:  1300
dist nan number:  1350
dist 0.0010033603949803503 number:  1400
dist 0.11357197567294416 number:  1450
eps:  0.023612316032263526
dists:  662
dist 0.011622268393049903 accepted:  30 trials:  355
dist 0.01003418521319866 accepted:  60 trials:  653
dist 0.013043874927182278 accepted:  90 trials:  929
dist 0.01897994414406466 accepted:  120 trials:  1331
dist 0.004264414576639221 accepted:  150 trials:  1703
dist 0.009531798658687439 accepted:  180 trials:  2341
dist 0.0065217438143413365 accepted:  210 trials:  2648
dist 0.0015051331714903643 accepted:  240 trials:  3141
dist 0.022157347777208597 accepted:  270 trials:  3549
dist 0.0077759582785176355 accepted:  300 trials:  3868
dist 0.004515179833465146 accepted:  330 trials:  4213
dist 0.007357927438050102 accepted:  360 trials:  4613
dist 0.020234340545508146 accepted:  390 trials:  4998
dist 0.009531952100579673 accepted:  420 trials:  5540
dist 0.0068562064480865385 accepted:  450 trials:  6057
dist 0.003762577548586232 accepted:  480 trials:  6415
dist 0.007525192089034291 accepted:  510 trials:  6791
dist 0.011036827836695058 accepted:  540 trials:  7180
dist 0.004933118594333716 accepted:  570 trials:  7503
dist 0.008779286709546376 accepted:  600 trials:  7925
dist 0.017893117132532086 accepted:  630 trials:  8298
dist 0.01496670355558223 accepted:  660 trials:  8705
dist 0.020067019229919603 accepted:  690 trials:  9217
dist 0.014047179820784798 accepted:  720 trials:  9686
dist 0.011287908858691912 accepted:  750 trials:  10107
dist 0.002592007018600298 accepted:  780 trials:  10546
dist 0.007943406709740941 accepted:  810 trials:  10945
dist 0.0035953244152999754 accepted:  840 trials:  11231
dist 0.011872994054743562 accepted:  870 trials:  11628
dist 0.00877930270748353 accepted:  900 trials:  12071
dist 0.004097622623517589 accepted:  930 trials:  12479
dist 0.010618787804740381 accepted:  960 trials:  12971
dist 0.02165571656837478 accepted:  990 trials:  13351
dist 0.006438129535392024 accepted:  1020 trials:  13677
dist 0.00443172333348157 accepted:  1050 trials:  14018
dist 0.007609046710177181 accepted:  1080 trials:  14492
dist 0.0015887305678368242 accepted:  1110 trials:  15033
dist 0.002257529194019292 accepted:  1140 trials:  15352
dist 0.009615462036250067 accepted:  1170 trials:  15775
dist 0.00794315436050349 accepted:  1200 trials:  16305
dist 0.007107110263998712 accepted:  1230 trials:  16780
dist 0.001170635400696005 accepted:  1260 trials:  17179
dist 0.015217588302677085 accepted:  1290 trials:  17570
dist 0.0027591980007003157 accepted:  1320 trials:  17933
dist 0.005685860717211574 accepted:  1350 trials:  18344
dist 0.010200760843898895 accepted:  1380 trials:  18729
dist 0.007692373991785125 accepted:  1410 trials:  19099
dist 0.007775939393471687 accepted:  1440 trials:  19626
dist 0.0002508431471263466 accepted:  1470 trials:  20008
dist 0.00041903362091167843 accepted:  1500 trials:  20319
dist 0.0013379147696386418 accepted:  1530 trials:  20692
dist 0.00560208909197017 accepted:  1560 trials:  21272
dist 0.0023412056343254887 accepted:  1590 trials:  21661
dist 0.014130504465004072 accepted:  1620 trials:  22085
dist 0.009197445885910665 accepted:  1650 trials:  22644
dist 0.0180606642196285 accepted:  1680 trials:  23099
dist 0.0014215835608048014 accepted:  1710 trials:  23582
dist 0.006438276971643228 accepted:  1740 trials:  24025
dist 0.011705847569619548 accepted:  1770 trials:  24375
dist 0.004933209006048119 accepted:  1800 trials:  24964
dist 0.009030125700571053 accepted:  1830 trials:  25361
dist 0.009866364971427644 accepted:  1860 trials:  25917
dist 0.009113717061954811 accepted:  1890 trials:  26160
dist 0.014966684670755294 accepted:  1920 trials:  26643
dist 0.008612198818596964 accepted:  1950 trials:  27019
dist 0.015050265370958198 accepted:  1980 trials:  27384
Accepted:  2000 Trials:  27623 Acceptance rate:  0.07240343192267314
Posterior mean R0:  2.023922257868533
Posterior mean sigma:  0.45498953525925584
Elapsed: 86496.9104 s
