nohup: ignoring input
T's size 920
True True
s_obs [130.65217391  64.49708147  -0.3027035    7.0163676 ]
scale [5.20e+02 5.67e+04 4.48e-01 2.64e+01]
dist 0.3701314187922734 number:  0
dist 0.15461403221687128 number:  50
dist 0.3741749423001834 number:  100
dist 0.6469472721036436 number:  150
dist 0.021994453127728932 number:  200
dist 0.4655906530407587 number:  250
dist nan number:  300
dist 0.22233211972026376 number:  350
dist nan number:  400
dist nan number:  450
dist 0.16518342178265635 number:  500
dist nan number:  550
dist 0.06910318976075358 number:  600
dist 0.3537116097238757 number:  650
dist 0.45118048764980395 number:  700
dist 0.16477875672831765 number:  750
dist 0.2239953090451175 number:  800
dist 0.034488190042811194 number:  850
dist nan number:  900
dist nan number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.1310541824450922 number:  1100
dist nan number:  1150
dist 0.38329614116442984 number:  1200
dist 0.3209355130196639 number:  1250
dist 0.08322369625338254 number:  1300
dist 0.1693520746482533 number:  1350
dist 0.06655185788100429 number:  1400
dist 0.0350889439811396 number:  1450
eps:  0.12526371198141842
dists:  973
dist 0.02229799165357037 accepted:  30 trials:  214
dist 0.07340905836298972 accepted:  60 trials:  432
dist 0.09894321731048097 accepted:  90 trials:  653
dist 0.07772873606392833 accepted:  120 trials:  932
dist 0.1068038949562392 accepted:  150 trials:  1121
dist 0.06628105345846712 accepted:  180 trials:  1388
dist 0.0148181439751142 accepted:  210 trials:  1588
dist 0.06424017857710307 accepted:  240 trials:  1841
dist 0.04684144770077474 accepted:  270 trials:  2061
dist 0.023180256399042243 accepted:  300 trials:  2308
dist 0.11937839321415789 accepted:  330 trials:  2511
dist 0.019531755852461707 accepted:  360 trials:  2727
dist 0.07887254143621024 accepted:  390 trials:  3009
dist 0.022578177935723195 accepted:  420 trials:  3199
dist 0.06775393470873854 accepted:  450 trials:  3395
dist 0.12431177350215827 accepted:  480 trials:  3681
dist 0.06727260764565993 accepted:  510 trials:  3865
dist 0.05109953306683106 accepted:  540 trials:  4086
dist 0.0446560027221116 accepted:  570 trials:  4280
dist 0.06587375000213196 accepted:  600 trials:  4537
dist 0.06356542111166405 accepted:  630 trials:  4741
dist 0.07243233719403686 accepted:  660 trials:  4909
dist 0.06299045540271957 accepted:  690 trials:  5111
dist 0.0771351139352228 accepted:  720 trials:  5370
dist 0.07786273413135325 accepted:  750 trials:  5549
dist 0.03863667066448073 accepted:  780 trials:  5829
dist 0.06357880412117191 accepted:  810 trials:  6109
dist 0.007152016703114937 accepted:  840 trials:  6320
dist 0.12142600735047251 accepted:  870 trials:  6523
dist 0.11581950371101947 accepted:  900 trials:  6744
dist 0.02352841134449761 accepted:  930 trials:  6995
dist 0.08451091767649584 accepted:  960 trials:  7204
dist 0.04148991178975338 accepted:  990 trials:  7370
dist 0.1175687221011193 accepted:  1020 trials:  7613
dist 0.05168458739145346 accepted:  1050 trials:  7902
dist 0.10944065802428106 accepted:  1080 trials:  8140
dist 0.049343453155794505 accepted:  1110 trials:  8362
dist 0.1120920995803901 accepted:  1140 trials:  8597
dist 0.020463812160022583 accepted:  1170 trials:  8839
dist 0.069929525181497 accepted:  1200 trials:  9094
dist 0.017174797694902502 accepted:  1230 trials:  9256
dist 0.08662540950410604 accepted:  1260 trials:  9548
dist 0.04762271286049642 accepted:  1290 trials:  9776
dist 0.09963214372272779 accepted:  1320 trials:  10027
dist 0.017977285603928524 accepted:  1350 trials:  10215
dist 0.10912067882575334 accepted:  1380 trials:  10429
dist 0.05996184500213215 accepted:  1410 trials:  10587
dist 0.06648474678332623 accepted:  1440 trials:  10805
dist 0.11618998759023265 accepted:  1470 trials:  10977
dist 0.06414058341028808 accepted:  1500 trials:  11228
dist 0.09439957821871565 accepted:  1530 trials:  11447
dist 0.08579135024281838 accepted:  1560 trials:  11682
dist 0.029393351270836702 accepted:  1590 trials:  11917
dist 0.035001234933000364 accepted:  1620 trials:  12123
dist 0.06007783889254221 accepted:  1650 trials:  12352
dist 0.052271346561976996 accepted:  1680 trials:  12567
dist 0.11861424960383807 accepted:  1710 trials:  12856
dist 0.08760664344489957 accepted:  1740 trials:  13136
dist 0.060445771357344996 accepted:  1770 trials:  13372
dist 0.11690557504289448 accepted:  1800 trials:  13552
dist 0.07490386999496423 accepted:  1830 trials:  13736
dist 0.06185871719809572 accepted:  1860 trials:  13945
dist 0.06009099500576877 accepted:  1890 trials:  14167
dist 0.10207157884941381 accepted:  1920 trials:  14386
dist 0.02370200869585801 accepted:  1950 trials:  14616
dist 0.0669937822507653 accepted:  1980 trials:  14815
Accepted:  2000 Trials:  14973 Acceptance rate:  0.13357376611233554
Posterior mean R0:  4.76768554179539
Posterior mean sigma:  0.531864866178887
Elapsed: 68323.5284 s
