nohup: ignoring input
T's size 920
True True
s_obs [169.26086957  87.03772296  -0.3398484    9.5268838 ]
scale [5.20e+02 5.67e+04 4.48e-01 2.64e+01]
dist 0.3306559531332441 number:  0
dist 0.1338484110067954 number:  50
dist 0.38561554782398744 number:  100
dist 0.6596215602351024 number:  150
dist 0.024220293517753882 number:  200
dist 0.5507155059831653 number:  250
dist nan number:  300
dist 0.16839631613671696 number:  350
dist 0.7887419905184857 number:  400
dist nan number:  450
dist 0.10382039110749926 number:  500
dist nan number:  550
dist 0.05062319599602786 number:  600
dist 0.2962019455273445 number:  650
dist 0.454769079013286 number:  700
dist 0.12114265832183696 number:  750
dist 0.2731535648010751 number:  800
dist 0.1918157758534644 number:  850
dist nan number:  900
dist nan number:  950
dist nan number:  1000
dist nan number:  1050
dist 0.15895717010646218 number:  1100
dist nan number:  1150
dist 0.3638360036559732 number:  1200
dist 0.2765250066447479 number:  1250
dist 0.1925925630422623 number:  1300
dist 0.15476266408969122 number:  1350
dist 0.039848209778758144 number:  1400
dist 0.046553800051254944 number:  1450
eps:  0.11574118022490049
dists:  1045
dist 0.024220293517753882 accepted:  30 trials:  201
dist 0.0626015243728032 accepted:  60 trials:  409
dist 0.06721628958917315 accepted:  90 trials:  602
dist 0.03806198872994494 accepted:  120 trials:  804
dist 0.10681643550095662 accepted:  150 trials:  1011
dist 0.06721570410826745 accepted:  180 trials:  1209
dist 0.0378713736879401 accepted:  210 trials:  1501
dist 0.0888538138644956 accepted:  240 trials:  1683
dist 0.04286821922532597 accepted:  270 trials:  1921
dist 0.08046071976595211 accepted:  300 trials:  2122
dist 0.051585899411290846 accepted:  330 trials:  2285
dist 0.05700396068547829 accepted:  360 trials:  2479
dist 0.052524981030199064 accepted:  390 trials:  2613
dist 0.09175249097839076 accepted:  420 trials:  2869
dist 0.09955884467322747 accepted:  450 trials:  3103
dist 0.07003425103529708 accepted:  480 trials:  3259
dist 0.08853216957004341 accepted:  510 trials:  3509
dist 0.0761401008436568 accepted:  540 trials:  3774
dist 0.11526069891110192 accepted:  570 trials:  3930
dist 0.05813898038241725 accepted:  600 trials:  4101
dist 0.10677779007131381 accepted:  630 trials:  4281
dist 0.10591876676902819 accepted:  660 trials:  4492
dist 0.07254404107168731 accepted:  690 trials:  4645
dist 0.0903197231152239 accepted:  720 trials:  4878
dist 0.11296606816650291 accepted:  750 trials:  5039
dist 0.09906244447478986 accepted:  780 trials:  5306
dist 0.04417554079406262 accepted:  810 trials:  5520
dist 0.08715997639362408 accepted:  840 trials:  5738
dist 0.08198516151084241 accepted:  870 trials:  5938
dist 0.09933333581272041 accepted:  900 trials:  6222
dist 0.07433021682905457 accepted:  930 trials:  6358
dist 0.0904769869897787 accepted:  960 trials:  6544
dist 0.05533501592544707 accepted:  990 trials:  6743
dist 0.09943328241067728 accepted:  1020 trials:  6970
dist 0.07367696990217068 accepted:  1050 trials:  7204
dist 0.10729417506466524 accepted:  1080 trials:  7346
dist 0.03752592114972734 accepted:  1110 trials:  7549
dist 0.09349233691300671 accepted:  1140 trials:  7834
dist 0.07225086169122276 accepted:  1170 trials:  8034
dist 0.08746780906353895 accepted:  1200 trials:  8261
dist 0.08479985124445676 accepted:  1230 trials:  8438
dist 0.11454638607398263 accepted:  1260 trials:  8623
dist 0.11450499552873877 accepted:  1290 trials:  8896
dist 0.04625306844425977 accepted:  1320 trials:  9143
dist 0.10370221615471358 accepted:  1350 trials:  9314
dist 0.05272933327227184 accepted:  1380 trials:  9583
dist 0.06323287836652561 accepted:  1410 trials:  9844
dist 0.08677975144561402 accepted:  1440 trials:  10056
dist 0.008740971755672192 accepted:  1470 trials:  10235
dist 0.029758529576996564 accepted:  1500 trials:  10459
dist 0.04366657761134042 accepted:  1530 trials:  10613
dist 0.08079848991406882 accepted:  1560 trials:  10843
dist 0.10288979752601564 accepted:  1590 trials:  11034
dist 0.09154681510335924 accepted:  1620 trials:  11225
dist 0.0681939597257404 accepted:  1650 trials:  11445
dist 0.0466735950459984 accepted:  1680 trials:  11692
dist 0.05234241073468924 accepted:  1710 trials:  11911
dist 0.05582677001008223 accepted:  1740 trials:  12143
dist 0.02741393404908845 accepted:  1770 trials:  12354
dist 0.06158747542596678 accepted:  1800 trials:  12553
dist 0.0640566039173975 accepted:  1830 trials:  12814
dist 0.048724848571747845 accepted:  1860 trials:  13069
dist 0.03122348400296665 accepted:  1890 trials:  13281
dist 0.1073277576546012 accepted:  1920 trials:  13502
dist 0.09151551746355507 accepted:  1950 trials:  13674
dist 0.08242579113012034 accepted:  1980 trials:  13822
Accepted:  2000 Trials:  13988 Acceptance rate:  0.1429796968830426
Posterior mean R0:  5.851403283498328
Posterior mean sigma:  0.5315654642812667
Elapsed: 68423.8556 s
