w1,w2,w3,w4,score,n_selected,threshold
0.1,0.9,0.1,0.1,0.22508095,24997,0.031923013408809306
0.2,0.9,0.1,0.1,0.2256268,24997,0.031210774211280025
0.3,0.9,0.1,0.1,0.22590962,24997,0.030573119940352975
0.4,0.9,0.1,0.1,0.22630371,24997,0.029982032323693286
0.5,0.9,0.1,0.1,0.22747417,24997,0.02942952613124465
0.1,0.8,0.1,0.1,0.22786146,24997,0.032510366654624215
0.6,0.9,0.1,0.1,0.22818455,24997,0.028931156933180897
0.7,0.9,0.1,0.1,0.2287344,24997,0.028464772364926054
0.2,0.8,0.1,0.1,0.22896734,24997,0.03170896372753492
0.8,0.9,0.1,0.1,0.22902687,24997,0.028021243704955612
0.3,0.8,0.1,0.1,0.22932231,24997,0.030990200371243497
0.4,0.8,0.1,0.1,0.22983757,24997,0.030356470767845645
0.5,0.8,0.1,0.1,0.23022857,24997,0.029767690798657626
0.9,0.9,0.1,0.1,0.23035271,24997,0.027620749608033214
0.6,0.8,0.1,0.1,0.23114803,24997,0.029233608025666914
0.2,0.7,0.1,0.1,0.2322421,24997,0.032236607399842236
0.1,0.7,0.1,0.1,0.23231468,24997,0.03313612773411492
0.7,0.8,0.1,0.1,0.23264475,24997,0.028704035418697864
0.3,0.7,0.1,0.1,0.23284073,24997,0.03145812085926792
0.8,0.8,0.1,0.1,0.23326585,24997,0.028228341813529814
0.4,0.7,0.1,0.1,0.23396134,24997,0.030738704078600743
0.9,0.8,0.1,0.1,0.23412223,24997,0.027790580316058477
0.5,0.7,0.1,0.1,0.23431864,24997,0.030085627757518614
0.1,0.9,0.2,0.1,0.23475939,24997,0.034843205038835326
0.6,0.7,0.1,0.1,0.23528105,24997,0.02949179075589977
0.2,0.9,0.2,0.1,0.23568264,24997,0.03410775925808922
0.1,0.8,0.2,0.1,0.23630288,24997,0.035394849328414385
0.4,0.9,0.2,0.1,0.23654112,24997,0.03279571032491861
0.3,0.9,0.2,0.1,0.23667225,24997,0.03341816466024348
0.5,0.9,0.2,0.1,0.23668858,24997,0.03224708505893352
0.7,0.7,0.1,0.1,0.23688221,24997,0.028929996318965402
0.2,0.6,0.1,0.1,0.23691566,24997,0.03285386824483819
0.1,0.6,0.1,0.1,0.23696636,24997,0.03387044995216299
0.3,0.6,0.1,0.1,0.23741326,24997,0.03196140659900889
0.1,0.9,0.3,0.1,0.23762915,24997,0.03636154895574333
0.2,0.9,0.1,0.2,0.2378226,24997,0.032599930362522934
0.6,0.9,0.2,0.1,0.23795122,24997,0.03172299422652541
