rank,clean_id,original_id,distance,R0,sigma
1,443366,443660,0.0505841707458646,1.7022423,0.860356
2,391352,391608,0.0509854366408857,1.6902715,0.92287064
3,276611,276781,0.0515342042100916,1.6786717,0.7586602
4,313570,313766,0.0515409007803347,2.0445476,0.986733
5,125516,125598,0.0524390378954407,1.055655,0.92125946
6,163076,163180,0.0527566592130341,1.5636667,0.63566196
7,5643,5648,0.052911268079627,1.0680242,0.23645477
8,158278,158380,0.0530957850297141,1.1001449,0.5125721
9,113876,113952,0.0532853624571098,1.28735,0.6310527
10,226379,226520,0.0535525182868406,1.2649062,0.7926918
11,479082,479398,0.0538272169475766,1.1274637,0.93100303
12,454862,455162,0.0540217617808732,1.9025786,0.9938415
13,400090,400349,0.0542714518383171,1.2523867,0.65976864
14,3280,3281,0.05440243626411,2.649214,0.961864
15,164633,164737,0.0544385591535778,1.5775669,0.719608
16,95410,95475,0.0545443228856256,1.8968358,0.93077475
17,271763,271931,0.0548398045918712,2.2215304,0.9760144
18,415067,415337,0.0549636479779769,1.7242129,0.890475
19,341370,341586,0.0550143980565341,1.0784752,0.9724452
20,438737,439029,0.0552371063126587,2.529791,0.98310584
21,290049,290226,0.0552794490957196,2.0450172,0.9798524
22,438988,439281,0.0554518822854112,2.0155983,0.9642167
23,143199,143296,0.0555634698636773,2.9226859,0.9915931
24,114075,114151,0.0558135947046484,1.2288684,0.9019306
25,360746,360983,0.055900791547011,1.5102416,0.78852963
26,80433,80488,0.0559677742868044,1.1075677,0.9118223
27,343089,343306,0.0562173377544706,1.7467235,0.8096294
28,187171,187292,0.0563175650987039,1.7278908,0.8260232
29,482357,482676,0.0563332291750765,2.1965783,0.9549019
30,142617,142713,0.0563926791020403,7.777254,0.9924546
31,262670,262831,0.0564933157866111,1.8507909,0.9697197
32,447603,447899,0.05667086632515,1.6724657,0.7345062
33,162873,162977,0.0568483885130092,2.0013216,0.9436377
34,171637,171746,0.0569578315260678,1.7761582,0.82282835
35,402350,402612,0.0571137121355707,1.3787373,0.65641356
36,9015,9024,0.0572372133541935,2.0688524,0.97533596
37,89562,89624,0.0576648769286134,1.9276743,0.7271583
38,360406,360642,0.0577630046426641,1.834662,0.9157262
39,207735,207865,0.0578418682560192,2.822905,0.9577786
40,370756,371000,0.0580071086070263,2.2155626,0.8384223
41,17060,17071,0.0580097152839687,2.0180902,0.99652743
42,395833,396091,0.0581458659056634,2.2261314,0.9232334
43,365885,366126,0.0581592224416019,1.6766913,0.8748645
44,36960,36989,0.0581701299191834,2.2497263,0.9860938
45,368814,369057,0.0584746288516214,1.689783,0.9692525
46,60592,60632,0.0586176351282617,1.9145472,0.91609716
47,296715,296896,0.0586179517210446,1.67029,0.95129114
48,302555,302743,0.0586835678999212,1.4852421,0.8113909
49,234089,234233,0.0587007544193061,1.9784693,0.9819347
50,467575,467885,0.0587293658053268,2.0688272,0.85094446
