w1,w2,w3,w4,score,n_selected,threshold
0.9,0.9,0.1,0.1,4.891917,24962,0.13097192752208622
0.8,0.9,0.1,0.1,4.9199705,24962,0.13396040340784862
0.7,0.9,0.1,0.1,4.9440317,24962,0.1371821092321238
0.6,0.9,0.1,0.1,4.974092,24962,0.14065291748878836
0.9,0.8,0.1,0.1,4.9863925,24962,0.13366701273587905
0.5,0.9,0.1,0.1,5.003597,24962,0.14441501203348375
0.8,0.8,0.1,0.1,5.0135965,24962,0.13688792500087704
0.4,0.9,0.1,0.1,5.0385885,24962,0.14850679767487415
0.7,0.8,0.1,0.1,5.0389614,24962,0.14036095884185615
0.3,0.9,0.1,0.1,5.0727882,24962,0.15300926770861117
0.6,0.8,0.1,0.1,5.0750036,24962,0.14411619262756814
0.9,0.7,0.1,0.1,5.081691,24962,0.13653717598276088
0.5,0.8,0.1,0.1,5.1098733,24962,0.14817631190573763
0.8,0.7,0.1,0.1,5.1144595,24962,0.13998767872795084
0.2,0.9,0.1,0.1,5.11572,24962,0.15794264280577036
0.4,0.8,0.1,0.1,5.143154,24962,0.15270268161827635
0.7,0.7,0.1,0.1,5.144357,24962,0.14374488011747436
0.1,0.9,0.1,0.1,5.157332,24962,0.16344730465012283
0.3,0.8,0.1,0.1,5.1854525,24962,0.15767402994415938
0.6,0.7,0.1,0.1,5.1896024,24962,0.14783333203628315
0.9,0.6,0.1,0.1,5.2102137,24962,0.13954322671467315
0.5,0.7,0.1,0.1,5.22923,24962,0.15234687615932418
0.2,0.8,0.1,0.1,5.232548,24962,0.1631875163827409
0.8,0.6,0.1,0.1,5.249731,24962,0.14328546615647839
0.9,0.9,0.2,0.1,5.2500286,24962,0.1425057886905379
0.4,0.7,0.1,0.1,5.2751527,24962,0.1572950895404518
0.8,0.9,0.2,0.1,5.2780657,24962,0.1454750509361521
0.1,0.8,0.1,0.1,5.280148,24962,0.16932612153716817
0.7,0.6,0.1,0.1,5.289581,24962,0.14738778340521488
0.7,0.9,0.2,0.1,5.310254,24962,0.14867044515115163
0.3,0.7,0.1,0.1,5.3168035,24962,0.16280834310225614
0.6,0.6,0.1,0.1,5.336098,24962,0.1518896799137013
0.6,0.9,0.2,0.1,5.3410063,24962,0.15212815874602875
0.9,0.8,0.2,0.1,5.3623133,24962,0.14508105310377317
0.9,0.5,0.1,0.1,5.3709884,24962,0.1427536261189232
0.2,0.7,0.1,0.1,5.3711777,24962,0.168971701972354
0.5,0.9,0.2,0.1,5.3729963,24962,0.15580991202909938
0.5,0.6,0.1,0.1,5.3802366,24962,0.15683409083688152
0.9,0.9,0.1,0.2,5.381411,24962,0.16028742664358495
0.8,0.8,0.2,0.1,5.3998256,24962,0.14828295921222445
0.4,0.9,0.2,0.1,5.4098115,24962,0.1598161343991546
0.8,0.5,0.1,0.1,5.414475,24964,0.14681260638986618
0.8,0.9,0.1,0.2,5.4166794,24962,0.16374252853950422
0.7,0.8,0.2,0.1,5.427018,24962,0.15171046098355298
0.4,0.6,0.1,0.1,5.431555,24962,0.1623366051886709
0.1,0.7,0.1,0.1,5.4330783,24962,0.17586255556462638
0.7,0.9,0.1,0.2,5.450007,24962,0.16745518104143126
0.3,0.9,0.2,0.1,5.451149,24962,0.16416833830217553
0.7,0.5,0.1,0.1,5.4620924,24962,0.15128039240083874
0.6,0.8,0.2,0.1,5.463796,24962,0.1554012025691911
0.3,0.6,0.1,0.1,5.49239,24962,0.1685015251753276
