w1,w2,w3,w4,score,n_selected,threshold
0.9,0.1,0.1,0.6,0.13512707,49925,0.02935459556383544
0.9,0.1,0.1,0.7,0.13514261,49925,0.02901956994927849
0.8,0.1,0.1,0.5,0.13515237,49925,0.03024064275894781
0.9,0.1,0.1,0.5,0.13520437,49925,0.0296510284885173
0.8,0.1,0.1,0.6,0.13540098,49925,0.029864746667298853
0.9,0.2,0.1,0.5,0.1354712,49925,0.029937266080317763
0.9,0.1,0.1,0.8,0.13561165,49925,0.02872703601587933
0.9,0.2,0.1,0.6,0.13565426,49925,0.029664581648541355
0.8,0.1,0.1,0.7,0.1356959,49925,0.02947429772056647
0.7,0.1,0.1,0.5,0.13570692,49925,0.0308993254720683
0.9,0.2,0.1,0.8,0.135723,49925,0.029171819435003337
0.9,0.2,0.1,0.7,0.13575391,49925,0.029423772327770426
0.7,0.1,0.1,0.6,0.13589904,49925,0.030421871007017213
0.8,0.2,0.1,0.5,0.13595836,49925,0.030518311916801297
0.9,0.1,0.1,0.4,0.13595909,49925,0.029966354742880442
0.9,0.1,0.1,0.9,0.13596258,49925,0.0284315860010996
0.9,0.2,0.1,0.9,0.13599077,49925,0.02893725836117877
0.8,0.2,0.1,0.6,0.13606368,49925,0.030181426165114558
0.8,0.1,0.1,0.4,0.13609457,49925,0.03063941770088881
0.9,0.2,0.1,0.4,0.13614532,49925,0.030189030446085917
0.7,0.1,0.1,0.7,0.13616705,49925,0.029957777261341037
0.6,0.1,0.1,0.6,0.13618886,49925,0.031037685883903817
0.8,0.2,0.1,0.7,0.1362277,49925,0.029884428040934316
0.8,0.1,0.1,0.8,0.1362975,49925,0.02911683753094227
0.6,0.1,0.1,0.5,0.13631849,49925,0.03161081977837771
0.8,0.2,0.1,0.8,0.13634267,49925,0.02958820133026412
0.8,0.2,0.1,0.9,0.1364013,49925,0.02933057294077456
0.7,0.2,0.1,0.5,0.13642597,49925,0.031148663478073973
0.8,0.2,0.1,0.4,0.1364492,49925,0.030854269136322773
0.7,0.2,0.1,0.6,0.13652936,49925,0.030739946309835852
0.7,0.1,0.1,0.4,0.13655412,49925,0.03138862871009967
0.9,0.3,0.2,0.9,0.1365847,49925,0.03336786446124659
0.7,0.2,0.1,0.7,0.13661888,49925,0.030369116509673885
0.7,0.1,0.1,0.8,0.13664223,49925,0.029530803342740868
0.8,0.1,0.1,0.9,0.13664305,49925,0.028781553038951448
0.6,0.1,0.1,0.7,0.13668111,49925,0.030484365120323036
0.7,0.2,0.1,0.9,0.13678809,49925,0.029745845654617933
0.7,0.2,0.1,0.8,0.13680866,49925,0.030032895588179967
0.8,0.3,0.2,0.9,0.13681301,49925,0.033830976359579684
0.7,0.2,0.1,0.4,0.13683282,49925,0.03158092245156466
0.6,0.1,0.1,0.4,0.13683408,49925,0.03218442611262235
0.6,0.2,0.1,0.5,0.13687517,49925,0.03183600272696203
0.5,0.1,0.1,0.6,0.13698488,49925,0.03168320889546551
0.5,0.1,0.1,0.5,0.13700536,49925,0.03237162868911893
0.6,0.2,0.1,0.8,0.13707963,49925,0.030521059966822334
0.9,0.3,0.2,0.8,0.13708869,49925,0.03374849701753248
0.6,0.2,0.1,0.9,0.13711748,49925,0.030166349441945937
0.6,0.2,0.1,0.7,0.13715056,49925,0.03090017717794892
0.9,0.3,0.1,0.6,0.13716057,49925,0.029782456459937764
0.6,0.2,0.1,0.6,0.13718338,49925,0.031337090656506215
0.9,0.3,0.1,0.5,0.13720031,49925,0.029989137639809735
0.8,0.3,0.2,0.8,0.13724907,49925,0.034255290770848476
0.5,0.2,0.1,0.5,0.1372684,49925,0.032600968844382655
0.9,0.3,0.1,0.7,0.13728553,49925,0.029586176901008662
0.6,0.2,0.1,0.4,0.13731514,49925,0.03237792472542746
0.5,0.1,0.1,0.7,0.13731603,49925,0.031036798620833892
0.9,0.3,0.1,0.9,0.13732642,49925,0.029243513773215404
0.5,0.1,0.1,0.4,0.13732854,49925,0.03304163712994894
0.6,0.1,0.1,0.8,0.13736023,49925,0.029983787170764595
0.7,0.3,0.2,0.9,0.13737226,49925,0.03430431316046498
0.9,0.2,0.2,0.9,0.13738191,49925,0.03314537182504208
0.9,0.2,0.1,0.3,0.13741414,49925,0.0304012768376001
0.9,0.3,0.1,0.8,0.13743973,49925,0.02941904232876054
0.8,0.3,0.1,0.9,0.13745001,49925,0.02963648869293309
0.7,0.3,0.2,0.8,0.13748778,49925,0.034778153367230995
0.5,0.2,0.1,0.8,0.13749568,49925,0.031034858826824236
0.9,0.1,0.1,0.3,0.13751301,49925,0.03023960607340809
0.5,0.2,0.1,0.4,0.13752812,49925,0.03326273414665621
0.9,0.4,0.2,0.9,0.1375531,49925,0.03335593925379774
0.8,0.2,0.2,0.9,0.13756534,49925,0.033563299784237
0.8,0.2,0.1,0.3,0.13756911,49925,0.03116967322005233
0.5,0.2,0.1,0.7,0.13757144,49925,0.03145664154943194
0.5,0.2,0.1,0.9,0.1375716,49925,0.03062702612196983
0.7,0.1,0.1,0.9,0.13758814,49925,0.029143977344540505
0.9,0.2,0.2,0.8,0.13762593,49925,0.03350130866157308
0.8,0.3,0.1,0.6,0.13762915,49925,0.03028918013826407
0.4,0.1,0.1,0.5,0.13763088,49925,0.03316120366356568
0.8,0.3,0.1,0.5,0.13763972,49925,0.030534874101969877
