R0,sigma,avg_prev_obs,var_prev_obs,avg_npmi_obs,div_all_isolates_obs
0.0,0.0,9.565217391304348,7.06351758208409,-0.595276743372485,18.333333333333332
1.1,0.8,1.0434782608695652,1.330695678260921,-0.13752714887099118,2.845360824742268
1.3,0.8,1.9130434782608696,2.0870388653056855,-0.13589172945281722,1.9790794979079498
1.5,0.8,4.521739130434782,4.822952370199958,-0.3019377139892197,2.5468378506894913
1.8,0.8,8.08695652173913,7.53122616769227,-0.21805136746525103,4.0944788196097095
2.0,0.8,15.956521739130435,14.46462223643216,-0.37821117715906294,7.105480321625053
2.3,0.8,15.08695652173913,15.991227832437783,-0.3991981647176488,3.8365820924138814
2.5,0.8,18.91304347826087,15.305712075378503,-0.4542896727783368,6.978781605796244
3.0,0.8,32.17391304347826,25.853876399897672,-0.41890011738818805,7.588111228284398
3.2,0.8,27.0,17.63261440935776,-0.3675349219843507,8.02626641651032
1.1,0.9,0.9565217391304348,1.2239377906638147,-0.09407665505226481,1.9411764705882353
1.3,0.9,1.8695652173913044,1.8166990000869696,-0.2193105259396384,3.4075471698113207
1.5,0.9,3.3043478260869565,1.98711262911555,-0.30128362647143875,3.7352555701179555
1.8,0.9,12.521739130434783,9.591044900973518,-0.4433475463560157,6.786206896551724
2.0,0.9,12.130434782608695,7.337973139932547,-0.3605170049387373,6.246939432989691
2.3,0.9,19.869565217391305,14.84558198077213,-0.44921923135148745,7.90621443205099
2.5,0.9,11.478260869565217,9.55781244093681,-0.32652631755892486,5.337638376383764
3.0,0.9,17.130434782608695,11.298850898235333,-0.39918039689349905,6.287744660115325
3.2,0.9,21.304347826086957,20.759301929515612,-0.36781563345451657,5.7562581079133235
