w1,w2,w3,w4,score,n_selected,threshold
0.9,0.9,0.1,0.2,0.22646295,49925,0.03420282830406738
0.9,0.9,0.1,0.1,0.22670303,49925,0.03432624106711491
0.8,0.9,0.1,0.1,0.22673966,49925,0.034581148331372026
0.8,0.9,0.1,0.2,0.22680327,49925,0.03442940953919304
0.8,0.9,0.1,0.5,0.2272273,49925,0.03384294976953605
0.8,0.9,0.1,0.3,0.22740822,49925,0.03423688445230703
0.9,0.9,0.1,0.3,0.22741432,49925,0.03405694067380818
0.7,0.9,0.1,0.1,0.22745301,49925,0.034813597785305475
0.9,0.8,0.1,0.2,0.2274889,49925,0.03421841126994009
0.6,0.9,0.1,0.2,0.2275807,49925,0.034772127221272583
0.7,0.9,0.1,0.2,0.22766836,49925,0.03462060595742446
0.9,0.8,0.1,0.1,0.22768904,49925,0.03437396391367649
0.7,0.9,0.1,0.3,0.22771305,49925,0.03440211856291917
0.8,0.9,0.1,0.4,0.22772443,49925,0.03405607696632104
0.8,0.8,0.1,0.1,0.22778329,49925,0.03468291238352164
0.9,0.9,0.1,0.4,0.2278277,49925,0.03388901827269701
0.8,0.8,0.1,0.2,0.22786936,49925,0.03450665119807272
0.6,0.9,0.1,0.3,0.22793838,49925,0.03452951132950456
0.7,0.9,0.1,0.4,0.22794539,49925,0.03419326938285823
0.9,0.9,0.1,0.5,0.22799489,49925,0.0336941487644092
0.9,0.8,0.1,0.3,0.22800717,49925,0.03403398763319253
0.7,0.8,0.1,0.1,0.22802946,49925,0.034950891660893435
0.5,0.9,0.1,0.2,0.22806078,49925,0.03486797219751677
0.9,0.9,0.1,0.6,0.22806948,49925,0.03349420098310519
0.7,0.8,0.1,0.2,0.22811364,49925,0.0347337086632072
0.7,0.9,0.1,0.5,0.22813557,49925,0.03397375487566144
0.5,0.9,0.1,0.1,0.22820994,49925,0.03509794337564886
0.6,0.9,0.1,0.4,0.22822793,49925,0.034273266177183105
0.6,0.9,0.1,0.1,0.22833195,49925,0.034992357839139565
0.5,0.8,0.1,0.2,0.2283614,49925,0.03504061073122957
0.7,0.8,0.1,0.3,0.22842357,49925,0.03450513335315474
0.8,0.9,0.1,0.6,0.2284334,49925,0.03362372739626408
0.6,0.8,0.1,0.2,0.22851755,49925,0.034923882008845795
0.6,0.8,0.1,0.4,0.22853327,49925,0.03440712629673414
0.8,0.8,0.1,0.3,0.22853515,49925,0.034286720920409866
0.7,0.7,0.1,0.1,0.22856818,49925,0.03503846388327618
0.7,0.8,0.1,0.4,0.22858521,49925,0.034251849535519775
0.9,0.7,0.1,0.3,0.2286031,49925,0.033953549196277896
0.5,0.8,0.1,0.1,0.22861683,49925,0.035329935916279455
0.6,0.8,0.1,0.1,0.22865681,49925,0.035178242401212666
0.9,0.7,0.1,0.2,0.22867584,49925,0.03415761761017632
0.5,0.9,0.1,0.4,0.22871715,49925,0.03431736509191953
0.9,0.8,0.1,0.4,0.2287319,49925,0.0338281883559224
0.5,0.9,0.1,0.5,0.22873197,49925,0.03405343015166799
0.9,0.8,0.1,0.5,0.22878487,49925,0.03363231485553751
0.4,0.8,0.1,0.3,0.22881433,49925,0.034750175744149014
0.9,0.9,0.1,0.7,0.22882068,49925,0.033304050002895665
0.6,0.7,0.1,0.1,0.22882235,49925,0.035307018237792274
0.5,0.9,0.1,0.3,0.22883748,49925,0.03458273774975449
0.6,0.9,0.1,0.5,0.22886144,49925,0.034045550090105736
0.8,0.8,0.1,0.5,0.22888738,49925,0.03383434792787756
0.7,0.8,0.1,0.5,0.22888857,49925,0.03399133005009613
0.7,0.9,0.1,0.6,0.22889732,49925,0.033756027675609986
0.8,0.8,0.1,0.4,0.22892863,49925,0.03405285047593384
0.6,0.8,0.1,0.3,0.22895594,49925,0.0346731868182067
0.8,0.7,0.1,0.2,0.22898272,49925,0.034488061218485924
0.8,0.7,0.1,0.1,0.22903149,49925,0.034705816194190435
0.7,0.7,0.1,0.2,0.22905195,49925,0.034800993335579705
0.4,0.9,0.1,0.3,0.22905526,49925,0.034533216641992805
0.5,0.7,0.1,0.1,0.22907571,49925,0.035529627536770816
0.4,0.9,0.1,0.2,0.22907962,49925,0.034803162142466676
0.5,0.8,0.1,0.4,0.22917539,49925,0.03447242635082711
0.8,0.7,0.1,0.3,0.22926174,49925,0.03425726284464714
0.7,0.9,0.1,0.7,0.22926582,49925,0.033503712757136664
0.4,0.9,0.1,0.1,0.2292764,49925,0.03504915348391091
0.8,0.9,0.1,0.7,0.2293325,49925,0.03341435981021316
0.5,0.7,0.1,0.2,0.22935967,49925,0.03523292544822447
0.8,0.7,0.1,0.4,0.22936496,49925,0.033994071678332544
0.5,0.8,0.1,0.3,0.22936775,49925,0.034759835910594436
0.8,0.8,0.1,0.6,0.22937652,49925,0.03359738657295705
0.4,0.8,0.1,0.1,0.22938444,49925,0.035373290121403805
0.6,0.8,0.1,0.5,0.22941418,49925,0.03412394032665496
0.4,0.8,0.1,0.2,0.2294276,49925,0.035061729494890524
0.6,0.9,0.1,0.6,0.22945619,49925,0.03380410030069078
0.4,0.9,0.1,0.4,0.22948724,49925,0.03423964915380679
0.6,0.7,0.1,0.2,0.22950035,49925,0.035046118192773
0.7,0.7,0.1,0.4,0.229607,49925,0.03424863884221378
0.9,0.8,0.1,0.6,0.22964516,49925,0.03342364387895085
0.6,0.6,0.1,0.1,0.22966065,49925,0.035386847617072774
0.5,0.7,0.1,0.3,0.22966224,49925,0.034908536966926744
0.7,0.6,0.1,0.1,0.22967055,49925,0.03500244589121871
0.9,0.7,0.1,0.1,0.22968552,49925,0.0343504333251481
0.6,0.6,0.1,0.2,0.22973496,49925,0.03505374594412924
0.8,0.9,0.1,0.8,0.22974029,49925,0.033206342947238676
0.4,0.7,0.1,0.1,0.22974038,49925,0.035638505547965334
0.7,0.9,0.1,0.8,0.22974463,49925,0.03326643160177854
0.7,0.7,0.1,0.3,0.22976989,49925,0.034509947886099894
0.4,0.7,0.1,0.2,0.22978109,49925,0.03530831432144753
0.5,0.9,0.1,0.6,0.22978927,49925,0.03377941877543927
0.5,0.7,0.1,0.4,0.22983383,49925,0.034594977993295965
0.9,0.9,0.1,0.8,0.22983596,49925,0.033100827726743665
0.6,0.7,0.1,0.4,0.22984041,49925,0.03443988539506046
0.6,0.9,0.1,0.7,0.2299054,49925,0.033547767153342484
0.9,0.7,0.1,0.4,0.2299366,49925,0.03372523247859292
0.7,0.9,0.1,0.9,0.22994125,49925,0.03302582896023116
0.4,0.6,0.1,0.1,0.22994944,49925,0.03591779267102478
0.7,0.8,0.1,0.6,0.22996767,49925,0.033727676226455214
0.4,0.7,0.1,0.3,0.22997099,49925,0.03496330544706788
0.9,0.7,0.1,0.5,0.23003908,49925,0.0335178508653138
0.6,0.8,0.1,0.6,0.23012464,49925,0.0338518163977618
0.6,0.7,0.1,0.3,0.23012584,49925,0.03475771190871813
0.7,0.6,0.1,0.2,0.23013058,49925,0.03474237095206103
0.4,0.8,0.1,0.4,0.23013222,49925,0.034447818729628044
0.8,0.6,0.1,0.2,0.2301496,49925,0.03436961782506252
0.5,0.8,0.1,0.5,0.2301562,49925,0.0341730507670776
0.4,0.6,0.1,0.2,0.23016004,49925,0.03554035634320376
0.5,0.6,0.1,0.1,0.23017347,49925,0.03568386752358845
0.9,0.6,0.1,0.2,0.23018181,49925,0.03398993543759317
0.4,0.9,0.1,0.5,0.23023906,49925,0.03394341096935961
0.9,0.8,0.1,0.7,0.23024753,49925,0.03321814835517465
0.8,0.6,0.1,0.1,0.23025209,49925,0.03462403073803515
0.5,0.6,0.1,0.2,0.23032542,49925,0.03534481696125848
0.6,0.9,0.1,0.8,0.23034073,49925,0.03326870319513568
0.3,0.8,0.1,0.2,0.2303438,49925,0.03488746748840763
0.7,0.7,0.1,0.5,0.23035628,49925,0.03395640631452265
0.7,0.8,0.1,0.7,0.23041826,49925,0.03348531681713697
0.8,0.7,0.1,0.5,0.23042226,49925,0.03374009386541206
0.8,0.9,0.1,0.9,0.23044243,49925,0.03297949782100707
0.8,0.8,0.1,0.7,0.23044746,49925,0.033357058241282794
0.5,0.8,0.1,0.6,0.23045848,49925,0.03386856320867896
0.6,0.8,0.1,0.7,0.23048723,49925,0.033548788426407725
0.5,0.6,0.1,0.3,0.23054719,49925,0.03497874871750477
0.6,0.6,0.1,0.3,0.23054759,49925,0.03472836684231251
0.6,0.7,0.1,0.5,0.23055199,49925,0.03414313839902479
0.7,0.6,0.1,0.3,0.23056196,49925,0.03444095423188416
0.6,0.8,0.1,0.8,0.23058745,49925,0.03325825916497255
0.5,0.9,0.1,0.7,0.23060533,49925,0.033495692064932615
0.3,0.9,0.1,0.1,0.23063076,49925,0.03475522008778383
0.9,0.9,0.1,0.9,0.23065725,49925,0.03289708787363398
0.4,0.7,0.1,0.4,0.2306915,49925,0.034608649198097634
0.3,0.9,0.1,0.2,0.23069628,49925,0.03452234793277001
0.4,0.6,0.1,0.3,0.23069987,49925,0.035144011314171414
0.6,0.9,0.1,0.9,0.23071745,49925,0.03301732631070007
0.5,0.7,0.1,0.5,0.23079494,49925,0.03425266790659189
0.3,0.8,0.1,0.1,0.23081024,49925,0.03519451163867245
0.9,0.6,0.1,0.3,0.2308129,49925,0.033779803815910676
0.3,0.9,0.1,0.3,0.23089823,49925,0.034250432506000274
0.7,0.8,0.1,0.8,0.23090851,49925,0.03321731109997889
0.4,0.8,0.1,0.5,0.23091768,49925,0.03412475735232193
0.3,0.7,0.1,0.1,0.23092684,49925,0.03561052567961705
0.8,0.6,0.1,0.3,0.23095164,49925,0.03411536879434349
0.6,0.5,0.1,0.1,0.23098056,49925,0.035323692935880655
0.9,0.6,0.1,0.1,0.23104486,49925,0.034193030904378814
0.9,0.6,0.1,0.4,0.23107576,49925,0.03355433693079205
0.8,0.6,0.1,0.4,0.23108563,49925,0.033854934185518985
0.6,0.5,0.1,0.2,0.23108868,49925,0.0349612432314938
0.5,0.6,0.1,0.4,0.23114559,49925,0.03461376452572493
0.3,0.7,0.1,0.3,0.23116481,49925,0.0348482269873163
0.3,0.7,0.1,0.2,0.23122281,49925,0.035230050934379475
0.4,0.9,0.1,0.6,0.2312566,49925,0.033647574623018504
0.6,0.6,0.1,0.4,0.23125839,49925,0.03440334255957508
0.5,0.9,0.1,0.8,0.23125954,49925,0.03322515544192048
0.3,0.6,0.1,0.1,0.23126388,49925,0.036010262494932485
0.5,0.8,0.1,0.7,0.23130035,49925,0.033546001123177294
0.5,0.7,0.1,0.6,0.23134491,49925,0.03389369042448839
0.5,0.5,0.1,0.2,0.23137085,49925,0.035368361824830226
0.9,0.7,0.1,0.6,0.23137544,49925,0.03330065532799182
0.4,0.5,0.1,0.2,0.23138456,49925,0.03569085367643087
0.7,0.6,0.1,0.4,0.23138663,49925,0.03414950498897476
0.3,0.8,0.1,0.3,0.23139323,49925,0.03455876616699154
0.6,0.8,0.1,0.9,0.2314606,49925,0.03296737003107551
0.5,0.9,0.1,0.9,0.23147494,49925,0.032941022995944605
0.7,0.5,0.1,0.2,0.2315002,49925,0.03454403716585617
0.8,0.8,0.1,0.8,0.23150966,49925,0.033126970742682595
0.6,0.7,0.1,0.6,0.23154655,49925,0.033834924379564785
0.8,0.7,0.1,0.6,0.23155455,49925,0.03350674325736854
0.7,0.5,0.1,0.1,0.23156711,49925,0.03484045622835636
0.5,0.5,0.1,0.1,0.23160236,49925,0.0357753594615654
0.9,0.8,0.1,0.8,0.23161095,49925,0.032994881661652736
0.4,0.8,0.1,0.6,0.23164704,49925,0.03377650704885085
0.4,0.7,0.1,0.5,0.23170586,49925,0.034259627058874656
0.4,0.6,0.1,0.4,0.2317276,49925,0.034718466558586056
0.7,0.7,0.1,0.6,0.23174031,49925,0.03367739553264186
0.3,0.9,0.1,0.4,0.23175897,49925,0.03396920386872152
0.5,0.8,0.1,0.8,0.23177177,49925,0.03323684243604209
0.9,0.9,0.2,0.3,0.23178662,49925,0.03578922268627188
0.3,0.6,0.1,0.2,0.2317884,49925,0.035566299828897925
0.7,0.8,0.1,0.9,0.2318155,49925,0.032950420138046284
0.4,0.5,0.1,0.1,0.2318182,49925,0.036149891306019186
0.8,0.5,0.1,0.1,0.23182999,49925,0.034364772133701905
0.6,0.5,0.1,0.3,0.23184717,49925,0.034616331118252734
0.4,0.9,0.1,0.7,0.23188782,49925,0.03335322366445543
0.5,0.7,0.1,0.7,0.23193146,49925,0.03353409362897843
0.8,0.8,0.1,0.9,0.23193589,49925,0.03286871680771138
0.8,0.5,0.1,0.2,0.23195413,49925,0.03411391359020119
0.3,0.8,0.1,0.4,0.2319723,49925,0.03420619085828041
0.9,0.6,0.1,0.5,0.23205855,49925,0.03330805535414062
0.9,0.9,0.2,0.2,0.23206717,49925,0.03601344284228057
0.8,0.9,0.2,0.3,0.23207535,49925,0.03599515271179404
0.6,0.7,0.1,0.7,0.23207708,49925,0.03351239173304747
0.3,0.5,0.1,0.1,0.2320959,49925,0.03644578005020381
0.5,0.5,0.1,0.3,0.23210981,49925,0.034939923807237254
0.9,0.7,0.1,0.7,0.23215894,49925,0.03305763079907398
0.4,0.8,0.1,0.7,0.23218654,49925,0.033448217265486746
0.8,0.6,0.1,0.5,0.23218805,49925,0.03360769307505571
0.4,0.5,0.1,0.3,0.23219715,49925,0.03521129665843952
0.9,0.8,0.1,0.9,0.23224886,49925,0.032766842978827385
0.5,0.8,0.1,0.9,0.23227073,49925,0.03293585085304105
0.8,0.5,0.1,0.3,0.23227568,49925,0.03386107295407752
0.7,0.9,0.2,0.3,0.23227903,49925,0.036186372181278806
0.4,0.7,0.1,0.6,0.23230529,49925,0.03386799407338037
0.5,0.6,0.1,0.5,0.2323086,49925,0.03424459935441289
0.9,0.9,0.2,0.4,0.23235346,49925,0.035532481765528624
0.7,0.5,0.1,0.3,0.23238778,49925,0.0342432277330909
0.9,0.5,0.1,0.2,0.23239784,49925,0.033707976037481616
0.7,0.9,0.2,0.2,0.2324564,49925,0.0364572529825973
0.6,0.7,0.1,0.8,0.23246118,49925,0.033191971893026154
0.8,0.9,0.2,0.2,0.2324898,49925,0.036253344540639006
0.7,0.7,0.1,0.7,0.2324991,49925,0.03339835943126777
0.3,0.6,0.1,0.3,0.23253456,49925,0.0351263805109832
0.8,0.9,0.2,0.4,0.23253655,49925,0.035739493346908305
0.3,0.9,0.1,0.5,0.23254362,49925,0.03364737436395818
0.4,0.9,0.1,0.8,0.23256576,49925,0.03305744774917481
0.8,0.7,0.1,0.7,0.23258682,49925,0.03324518813474355
0.3,0.5,0.1,0.2,0.23258962,49925,0.03591185244368615
0.8,0.9,0.2,0.1,0.23259227,49925,0.03648692201609275
0.6,0.9,0.2,0.3,0.23259482,49925,0.03634681431708985
0.9,0.5,0.1,0.1,0.23264375,49925,0.03388625391604686
0.7,0.9,0.2,0.4,0.2326776,49925,0.03589466118290125
0.4,0.6,0.1,0.5,0.2327632,49925,0.034291355665222935
0.7,0.6,0.1,0.5,0.23277906,49925,0.03385311453434811
0.3,0.7,0.1,0.4,0.23280095,49925,0.03444780811387376
0.7,0.9,0.2,0.5,0.23283127,49925,0.03561954648221137
0.9,0.8,0.2,0.2,0.23284996,49925,0.03599230684053306
0.9,0.9,0.2,0.1,0.23286915,49925,0.036243662713644084
0.7,0.5,0.1,0.4,0.23290798,49925,0.033953104979422326
0.9,0.9,0.2,0.5,0.23292096,49925,0.03530194965594945
0.4,0.9,0.1,0.9,0.23292352,49925,0.03275307970219546
0.4,0.8,0.1,0.8,0.23293051,49925,0.033115503169016146
0.9,0.6,0.1,0.6,0.23293918,49925,0.03306967748717388
0.7,0.9,0.2,0.1,0.23294753,49925,0.03673117828483956
0.6,0.9,0.2,0.2,0.23295046,49925,0.03664026860733309
0.7,0.8,0.2,0.3,0.23298748,49925,0.03627008154982222
0.3,0.8,0.1,0.5,0.23299962,49925,0.033859076186518317
0.8,0.9,0.2,0.5,0.23300187,49925,0.035462220833476124
0.9,0.8,0.2,0.1,0.23301525,49925,0.03623410456293528
0.5,0.6,0.1,0.6,0.2330364,49925,0.033853262643800626
0.8,0.8,0.2,0.3,0.23304392,49925,0.036011207929531386
0.8,0.5,0.1,0.4,0.23304553,49925,0.03360018920738301
0.9,0.5,0.1,0.4,0.2330952,49925,0.033237761868706445
0.3,0.6,0.1,0.4,0.23309599,49925,0.03467844950229206
0.5,0.4,0.1,0.1,0.23313415,49925,0.035691889126873926
0.9,0.5,0.1,0.3,0.23315562,49925,0.033474788711228415
0.7,0.7,0.1,0.8,0.23316944,49925,0.03311458666021292
0.6,0.9,0.2,0.4,0.23319648,49925,0.03602789074586192
0.6,0.4,0.1,0.1,0.23321593,49925,0.0351019571974277
0.6,0.5,0.1,0.4,0.23322953,49925,0.03426475508366687
0.6,0.6,0.1,0.5,0.23323065,49925,0.03406401958717172
0.8,0.9,0.2,0.6,0.23327076,49925,0.03520679479456513
0.3,0.5,0.1,0.3,0.23327574,49925,0.035348217941098874
0.5,0.7,0.1,0.8,0.23329057,49925,0.033197857080814484
0.6,0.9,0.2,0.1,0.23330027,49925,0.036929560279982565
0.9,0.8,0.2,0.3,0.23330796,49925,0.03575221285036236
0.9,0.7,0.1,0.8,0.23333156,49925,0.032818987964176455
0.4,0.7,0.1,0.7,0.23333633,49925,0.03349052764142914
0.4,0.5,0.1,0.4,0.23334587,49925,0.034728765870164414
0.5,0.4,0.1,0.2,0.23334722,49925,0.035246254521238814
0.8,0.8,0.2,0.2,0.23337428,49925,0.03629877283790799
0.4,0.4,0.1,0.1,0.23337428,49925,0.03629877283790799
0.8,0.6,0.1,0.6,0.23339912,49925,0.033310323378029846
0.9,0.9,0.2,0.6,0.23340288,49925,0.03505924839254619
0.8,0.7,0.1,0.8,0.23345676,49925,0.03297899388836731
0.8,0.9,0.2,0.7,0.23348363,49925,0.03496014670851936
0.9,0.8,0.2,0.4,0.23352343,49925,0.035496391161580286
0.5,0.9,0.2,0.2,0.23356125,49925,0.036763669209686815
0.3,0.9,0.1,0.6,0.23357196,49925,0.03333862024252035
0.6,0.9,0.2,0.5,0.23357996,49925,0.03570428849597232
0.6,0.9,0.2,0.6,0.23359692,49925,0.03541449168971342
0.5,0.5,0.1,0.4,0.23360233,49925,0.03452796747487169
0.3,0.7,0.1,0.5,0.233623,49925,0.034037943682647884
0.2,0.8,0.1,0.1,0.23364945,49925,0.0346557992956581
0.4,0.4,0.1,0.2,0.23365729,49925,0.03573861205165336
0.8,0.8,0.2,0.4,0.23365729,49925,0.03573861205165336
0.8,0.8,0.2,0.1,0.23365937,49925,0.0365666635820081
0.7,0.4,0.1,0.1,0.23369285,49925,0.03453072526745079
0.4,0.6,0.1,0.6,0.23371875,49925,0.03386379173722632
0.7,0.9,0.2,0.6,0.23372167,49925,0.035338384666762424
0.7,0.7,0.1,0.9,0.23372458,49925,0.03281936927923508
0.2,0.8,0.1,0.2,0.23372789,49925,0.03436477210698288
0.7,0.8,0.2,0.2,0.23376893,49925,0.036565336746273346
0.4,0.8,0.1,0.9,0.23379415,49925,0.03277831170655416
0.2,0.7,0.1,0.1,0.23381568,49925,0.03522698591277465
0.5,0.6,0.1,0.7,0.2338332,49925,0.033470342001432014
0.7,0.4,0.1,0.2,0.23383617,49925,0.03421949852078322
0.8,0.7,0.1,0.9,0.23384675,49925,0.032709513699674356
0.3,0.4,0.1,0.1,0.23387635,49925,0.036807475311785014
0.6,0.8,0.2,0.2,0.23387635,49925,0.036807475311785014
